client_name,client_id,enabled
411Locals,1377,TRUE
Ad Pages Solutions,2059,TRUE
Adco,1353,TRUE
Advance Local,40,TRUE
Amplify,2078,TRUE
Ansira Managed Service,1075,TRUE
Audigy - Managed Service,2085,TRUE
Boca Broadly,1413,TRUE
BW Digital Publishing,2067,TRUE
Beyond Private Label,1111,TRUE
Blue River Digital,2036,TRUE
Chrispy Media Group,2034,TRUE
Community News,1321,TRUE
Draft Media Partners,2082,TRUE
DreamLocal,1416,TRUE
Entravision,1305,TRUE
Frostbite Marketing,2075,TRUE
Gray Television,1354,TRUE
Homefield Digital - Managed Services,2040,TRUE
Howell Studios,2061,TRUE
January Spring,2013,TRUE
Leading Response,2011,TRUE
LocalLook,2055,TRUE
MMG Digital,1359,TRUE
Mainivent Advertising Agency,2069,TRUE
Manta,2001,TRUE
McClatchy AdAuto & Custom,1140,TRUE
McClatchy Interactive,1033,TRUE
Net72 Limited,2064,TRUE
Seven West Media,1166,TRUE
Spectrum Reach,1101,TRUE
Spiess Media Group,2050,TRUE
TecNation CAD,2068,TRUE
TecNation USD,2071,TRUE
The Worx Company,2073,TRUE
TSG POS,2079,TRUE
TurboFuel,2062,TRUE
Vivial,1254,TRUE
XDC MB,2077,TRUE
Innovative Direct Marketing,2086,TRUE
