ID,Campaign ID,Engine,Type,Policy Violation,Reason,Reason Type,Text,Synchronous Disapproval?,Exemptible?,Runnable?,Disapproved On,Last Updated By,Last Updated On,Valid?,Resolution?,% Fulfilled,% Time Used,Campaign Status
46145159,1642077,GOOGLE,Callout,CIRCUMVENTING_SYSTEMS,Violating Text: ,PROHIBITED,Contact Us,No,No,Yes,2026/01/05 19:44:39,Stephen Zerbs,2026/03/06 16:16:20,Undetermined,None,0.00%,30.24%,
46145160,1642077,GOOGLE,Callout,CIRCUMVENTING_SYSTEMS,Violating Text: ,PROHIBITED,Our Services,No,No,Yes,2026/01/05 19:44:39,Stephen Zerbs,2026/03/06 16:16:20,Undetermined,None,0.00%,30.24%,
46145161,1642077,GOOGLE,Callout,CIRCUMVENTING_SYSTEMS,Violating Text: ,PROHIBITED,Testimonials,No,No,Yes,2026/01/05 19:44:39,Stephen Zerbs,2026/03/06 16:16:20,Undetermined,None,0.00%,30.24%,
46145162,1642077,GOOGLE,Callout,CIRCUMVENTING_SYSTEMS,Violating Text: ,PROHIBITED,About Us,No,No,Yes,2026/01/05 19:44:39,Stephen Zerbs,2026/03/06 16:16:20,Undetermined,None,0.00%,30.24%,
44239696,1705607,GOOGLE,Ad,AD_ERROR,"The ad is not associated with any enabled AdGroupAd, and cannot be updated.",,,No,No,Yes,2025/10/16 06:00:20,System  ,2026/02/16 23:01:37,Undetermined,None,79.15%,86.61%,
46145154,1642077,GOOGLE,Ad,CIRCUMVENTING_SYSTEMS,Violating Text: ,PROHIBITED,,No,No,Yes,2026/01/05 19:44:38,Stephen Zerbs,2026/03/06 16:16:20,Undetermined,None,0.00%,30.24%,
46145155,1642077,GOOGLE,Ad,CIRCUMVENTING_SYSTEMS,Violating Text: ,PROHIBITED,,No,No,Yes,2026/01/05 19:44:38,Stephen Zerbs,2026/03/06 16:16:20,Undetermined,None,0.00%,30.24%,
46145156,1642077,GOOGLE,Ad,CIRCUMVENTING_SYSTEMS,Violating Text: ,PROHIBITED,,No,No,Yes,2026/01/05 19:44:38,Stephen Zerbs,2026/03/06 16:16:20,Undetermined,None,0.00%,30.24%,
46783937,1642077,GOOGLE,Ad,CIRCUMVENTING_SYSTEMS,Violating Text: ,PROHIBITED,,No,No,Yes,2026/02/11 19:47:20,Stephen Zerbs,2026/03/06 16:16:20,Undetermined,None,0.00%,30.24%,
46908107,1642077,GOOGLE,Ad,CIRCUMVENTING_SYSTEMS,Violating Text: ,PROHIBITED,,No,No,Yes,2026/02/18 21:25:45,Stephen Zerbs,2026/03/06 16:16:20,Undetermined,None,0.00%,30.24%,
47218600,1733916,GOOGLE,Ad,POLICY_FINDING_ERROR,The resource has been disapproved since the policy summary includes policy topics of type PROHIBITED.,,,No,No,Yes,2026/03/10 09:42:39,System  ,,Undetermined,None,93.91%,93.75%,
43750613,1739939,GOOGLE,Ad,AD_ERROR,Call Ad verification url and final url don't have same domain.,,,No,No,Yes,2025/09/25 06:36:08,System  ,,Undetermined,None,57.95%,54.46%,active
43783184,1739939,GOOGLE,Ad,ONE_WEBSITE_PER_AD_GROUP,Violating Text: ,PROHIBITED,,No,No,Yes,2025/09/25 21:30:54,System  ,2025/09/26 20:45:33,Undetermined,None,57.95%,54.46%,active
