ID,Campaign ID,Engine,Type,Policy Violation,Reason,Reason Type,Text,Synchronous Disapproval?,Exemptible?,Runnable?,Disapproved On,Last Updated By,Last Updated On,Valid?,Resolution?,% Fulfilled,% Time Used,Campaign Status
32198922,2086176,GOOGLE,Phone,UNVERIFIED_PHONE_NUMBER,Violating Text: ,PROHIBITED,406-278-6928,No,No,Yes,2024/05/12 19:55:30,Mahalakshmi S,2024/05/28 03:34:12,Valid,Delegated,39.43%,33.06%,
31731778,2052727,GOOGLE,Keyword,CONSUMER_FINANCE,Consumer Finance - Consumer Finance,,"""eco friendly laminate flooring Cinnaminson""",Yes,Yes,Yes,2024/04/05 19:16:39,Mahalakshmi S,2024/07/08 00:35:28,Valid,Will Not Fix,28.43%,33.06%,
31731779,2052727,GOOGLE,Keyword,CONSUMER_FINANCE,Consumer Finance - Consumer Finance,,"""eco friendly laminate flooring nearby""",Yes,Yes,Yes,2024/04/05 19:16:39,Mahalakshmi S,2024/07/08 00:35:28,Valid,Will Not Fix,28.43%,33.06%,
31731780,2052727,GOOGLE,Keyword,CONSUMER_FINANCE,Consumer Finance - Consumer Finance,,"""eco friendly laminate flooring local""",Yes,Yes,Yes,2024/04/05 19:16:39,Mahalakshmi S,2024/07/08 00:35:28,Valid,Will Not Fix,28.43%,33.06%,
31733031,2052727,GOOGLE,Keyword,CONSUMER_FINANCE,Consumer Finance - Consumer Finance,,"""environmentally friendly flooring Cinnaminson""",Yes,Yes,Yes,2024/04/05 19:16:39,Mahalakshmi S,2024/07/08 00:35:28,Valid,Will Not Fix,28.43%,33.06%,
31733032,2052727,GOOGLE,Keyword,CONSUMER_FINANCE,Consumer Finance - Consumer Finance,,"""environmentally friendly flooring near me""",Yes,Yes,Yes,2024/04/05 19:16:39,Mahalakshmi S,2024/07/08 00:35:28,Valid,Will Not Fix,28.43%,33.06%,
31733033,2052727,GOOGLE,Keyword,CONSUMER_FINANCE,Consumer Finance - Consumer Finance,,"""environmentally friendly flooring nearby""",Yes,Yes,Yes,2024/04/05 19:16:39,Mahalakshmi S,2024/07/08 00:35:28,Valid,Will Not Fix,28.43%,33.06%,
31733034,2052727,GOOGLE,Keyword,CONSUMER_FINANCE,Consumer Finance - Consumer Finance,,"""environmentally friendly flooring local""",Yes,Yes,Yes,2024/04/05 19:16:39,Mahalakshmi S,2024/07/08 00:35:28,Valid,Will Not Fix,28.43%,33.06%,
31733039,2052727,GOOGLE,Keyword,CONSUMER_FINANCE,Consumer Finance - Consumer Finance,,"""eco friendly flooring Cinnaminson""",Yes,Yes,Yes,2024/04/05 19:16:39,Mahalakshmi S,2024/07/08 00:35:28,Valid,Will Not Fix,28.43%,33.06%,
31733040,2052727,GOOGLE,Keyword,CONSUMER_FINANCE,Consumer Finance - Consumer Finance,,"""eco friendly flooring near me""",Yes,Yes,Yes,2024/04/05 19:16:39,Mahalakshmi S,2024/07/08 00:35:28,Valid,Will Not Fix,28.43%,33.06%,
31733041,2052727,GOOGLE,Keyword,CONSUMER_FINANCE,Consumer Finance - Consumer Finance,,"""eco friendly flooring nearby""",Yes,Yes,Yes,2024/04/05 19:16:39,Mahalakshmi S,2024/07/08 00:35:28,Valid,Will Not Fix,28.43%,33.06%,
31733042,2052727,GOOGLE,Keyword,CONSUMER_FINANCE,Consumer Finance - Consumer Finance,,"""eco friendly flooring local""",Yes,Yes,Yes,2024/04/05 19:16:39,Mahalakshmi S,2024/07/08 00:35:28,Valid,Will Not Fix,28.43%,33.06%,
31733043,2052727,GOOGLE,Keyword,CONSUMER_FINANCE,Consumer Finance - Consumer Finance,,"""best waterproof laminate flooring Cinnaminson""",Yes,Yes,Yes,2024/04/05 19:16:39,Mahalakshmi S,2024/07/08 00:35:28,Valid,Will Not Fix,28.43%,33.06%,
31733044,2052727,GOOGLE,Keyword,CONSUMER_FINANCE,Consumer Finance - Consumer Finance,,"""best waterproof laminate flooring nearby""",Yes,Yes,Yes,2024/04/05 19:16:39,Mahalakshmi S,2024/07/08 00:35:28,Valid,Will Not Fix,28.43%,33.06%,
31733045,2052727,GOOGLE,Keyword,CONSUMER_FINANCE,Consumer Finance - Consumer Finance,,"""best waterproof laminate flooring local""",Yes,Yes,Yes,2024/04/05 19:16:39,Mahalakshmi S,2024/07/08 00:35:28,Valid,Will Not Fix,28.43%,33.06%,
31733046,2052727,GOOGLE,Keyword,CONSUMER_FINANCE,Consumer Finance - Consumer Finance,,"""waterproof laminate flooring for kitchens Cinnaminson""",Yes,Yes,Yes,2024/04/05 19:16:39,Mahalakshmi S,2024/07/08 00:35:28,Valid,Will Not Fix,28.43%,33.06%,
31733047,2052727,GOOGLE,Keyword,CONSUMER_FINANCE,Consumer Finance - Consumer Finance,,"""waterproof laminate flooring for kitchens nearby""",Yes,Yes,Yes,2024/04/05 19:16:39,Mahalakshmi S,2024/07/08 00:35:28,Valid,Will Not Fix,28.43%,33.06%,
31733048,2052727,GOOGLE,Keyword,CONSUMER_FINANCE,Consumer Finance - Consumer Finance,,"""waterproof laminate flooring for kitchens local""",Yes,Yes,Yes,2024/04/05 19:16:39,Mahalakshmi S,2024/07/08 00:35:28,Valid,Will Not Fix,28.43%,33.06%,
31733049,2052727,GOOGLE,Keyword,CONSUMER_FINANCE,Consumer Finance - Consumer Finance,,"""sustainable flooring Cinnaminson""",Yes,Yes,Yes,2024/04/05 19:16:39,Mahalakshmi S,2024/07/08 00:35:28,Valid,Will Not Fix,28.43%,33.06%,
31733050,2052727,GOOGLE,Keyword,CONSUMER_FINANCE,Consumer Finance - Consumer Finance,,"""sustainable flooring near me""",Yes,Yes,Yes,2024/04/05 19:16:39,Mahalakshmi S,2024/07/08 00:35:28,Valid,Will Not Fix,28.43%,33.06%,
31733051,2052727,GOOGLE,Keyword,CONSUMER_FINANCE,Consumer Finance - Consumer Finance,,"""sustainable flooring nearby""",Yes,Yes,Yes,2024/04/05 19:16:39,Mahalakshmi S,2024/07/08 00:35:28,Valid,Will Not Fix,28.43%,33.06%,
31733052,2052727,GOOGLE,Keyword,CONSUMER_FINANCE,Consumer Finance - Consumer Finance,,"""sustainable flooring local""",Yes,Yes,Yes,2024/04/05 19:16:39,Mahalakshmi S,2024/07/08 00:35:28,Valid,Will Not Fix,28.43%,33.06%,
31733053,2052727,GOOGLE,Keyword,CONSUMER_FINANCE,Consumer Finance - Consumer Finance,,"""waterproof laminate wood flooring Cinnaminson""",Yes,Yes,Yes,2024/04/05 19:16:39,Mahalakshmi S,2024/07/08 00:35:28,Valid,Will Not Fix,28.43%,33.06%,
31733054,2052727,GOOGLE,Keyword,CONSUMER_FINANCE,Consumer Finance - Consumer Finance,,"""waterproof laminate wood flooring nearby""",Yes,Yes,Yes,2024/04/05 19:16:39,Mahalakshmi S,2024/07/08 00:35:28,Valid,Will Not Fix,28.43%,33.06%,
31733055,2052727,GOOGLE,Keyword,CONSUMER_FINANCE,Consumer Finance - Consumer Finance,,"""waterproof laminate wood flooring local""",Yes,Yes,Yes,2024/04/05 19:16:39,Mahalakshmi S,2024/07/08 00:35:28,Valid,Will Not Fix,28.43%,33.06%,
31733056,2052727,GOOGLE,Keyword,CONSUMER_FINANCE,Consumer Finance - Consumer Finance,,"""water resistant laminate flooring Cinnaminson""",Yes,Yes,Yes,2024/04/05 19:16:39,Mahalakshmi S,2024/07/08 00:35:28,Valid,Will Not Fix,28.43%,33.06%,
31733057,2052727,GOOGLE,Keyword,CONSUMER_FINANCE,Consumer Finance - Consumer Finance,,"""water resistant laminate flooring nearby""",Yes,Yes,Yes,2024/04/05 19:16:39,Mahalakshmi S,2024/07/08 00:35:28,Valid,Will Not Fix,28.43%,33.06%,
31733058,2052727,GOOGLE,Keyword,CONSUMER_FINANCE,Consumer Finance - Consumer Finance,,"""water resistant laminate flooring local""",Yes,Yes,Yes,2024/04/05 19:16:39,Mahalakshmi S,2024/07/08 00:35:28,Valid,Will Not Fix,28.43%,33.06%,
31733059,2052727,GOOGLE,Keyword,CONSUMER_FINANCE,Consumer Finance - Consumer Finance,,"""eco flooring Cinnaminson""",Yes,Yes,Yes,2024/04/05 19:16:39,Mahalakshmi S,2024/07/08 00:35:28,Valid,Will Not Fix,28.43%,33.06%,
31733060,2052727,GOOGLE,Keyword,CONSUMER_FINANCE,Consumer Finance - Consumer Finance,,"""eco flooring near me""",Yes,Yes,Yes,2024/04/05 19:16:39,Mahalakshmi S,2024/07/08 00:35:28,Valid,Will Not Fix,28.43%,33.06%,
31733061,2052727,GOOGLE,Keyword,CONSUMER_FINANCE,Consumer Finance - Consumer Finance,,"""eco flooring nearby""",Yes,Yes,Yes,2024/04/05 19:16:39,Mahalakshmi S,2024/07/08 00:35:28,Valid,Will Not Fix,28.43%,33.06%,
31733062,2052727,GOOGLE,Keyword,CONSUMER_FINANCE,Consumer Finance - Consumer Finance,,"""eco flooring local""",Yes,Yes,Yes,2024/04/05 19:16:39,Mahalakshmi S,2024/07/08 00:35:28,Valid,Will Not Fix,28.43%,33.06%,
31733063,2052727,GOOGLE,Keyword,CONSUMER_FINANCE,Consumer Finance - Consumer Finance,,"""eco friendly laminate flooring""",Yes,Yes,Yes,2024/04/05 19:16:39,Mahalakshmi S,2024/07/08 00:35:28,Valid,Will Not Fix,28.43%,33.06%,
31733064,2052727,GOOGLE,Keyword,CONSUMER_FINANCE,Consumer Finance - Consumer Finance,,"""environmentally friendly flooring""",Yes,Yes,Yes,2024/04/05 19:16:39,Mahalakshmi S,2024/07/08 00:35:28,Valid,Will Not Fix,28.43%,33.06%,
31733066,2052727,GOOGLE,Keyword,CONSUMER_FINANCE,Consumer Finance - Consumer Finance,,"""eco friendly flooring""",Yes,Yes,Yes,2024/04/05 19:16:39,Mahalakshmi S,2024/07/08 00:35:28,Valid,Will Not Fix,28.43%,33.06%,
31733067,2052727,GOOGLE,Keyword,CONSUMER_FINANCE,Consumer Finance - Consumer Finance,,"""best waterproof laminate flooring""",Yes,Yes,Yes,2024/04/05 19:16:39,Mahalakshmi S,2024/07/08 00:35:28,Valid,Will Not Fix,28.43%,33.06%,
