ID,Campaign ID,Engine,Type,Policy Violation,Reason,Reason Type,Text,Synchronous Disapproval?,Exemptible?,Runnable?,Disapproved On,Last Updated By,Last Updated On,Valid?,Resolution?,% Fulfilled,% Time Used,Campaign Status
46616218,2664783,GOOGLE,structured snippet,HEALTH_IN_PERSONALIZED_ADS,Violating Text: ,LIMITED,,No,No,Yes,2026/02/02 09:38:27,Theeba R,2026/02/10 04:14:39,Undetermined,None,28.23%,33.06%,active
46616219,2664783,GOOGLE,structured snippet,HEALTH_IN_PERSONALIZED_ADS,Violating Text: ,LIMITED,,No,No,Yes,2026/02/02 09:38:27,Theeba R,2026/02/10 04:14:39,Undetermined,None,28.23%,33.06%,active
46623979,2664783,GOOGLE,Callout,HEALTH_IN_PERSONALIZED_ADS,Violating Text: ,LIMITED,,No,No,Yes,2026/02/02 09:38:26,Theeba R,2026/02/10 04:14:39,Undetermined,None,28.23%,33.06%,active
46623980,2664783,GOOGLE,Callout,HEALTH_IN_PERSONALIZED_ADS,Violating Text: ,LIMITED,,No,No,Yes,2026/02/02 09:38:26,Theeba R,2026/02/10 04:14:39,Undetermined,None,28.23%,33.06%,active
46623981,2664783,GOOGLE,Sitelink,HEALTH_IN_PERSONALIZED_ADS,Violating Text: ,LIMITED,,No,No,Yes,2026/02/02 09:38:26,Theeba R,2026/02/10 04:14:39,Undetermined,None,28.23%,33.06%,active
46623982,2664783,GOOGLE,Sitelink,HEALTH_IN_PERSONALIZED_ADS,Violating Text: ,LIMITED,,No,No,Yes,2026/02/02 09:38:26,Theeba R,2026/02/10 04:14:39,Undetermined,None,28.23%,33.06%,active
46623991,2664783,GOOGLE,Callout,HEALTH_IN_PERSONALIZED_ADS,Violating Text: ,LIMITED,,No,No,Yes,2026/02/02 09:38:26,Theeba R,2026/02/10 04:14:39,Undetermined,None,28.23%,33.06%,active
46623992,2664783,GOOGLE,Callout,HEALTH_IN_PERSONALIZED_ADS,Violating Text: ,LIMITED,,No,No,Yes,2026/02/02 09:38:26,Theeba R,2026/02/10 04:14:39,Undetermined,None,28.23%,33.06%,active
46632758,2664783,GOOGLE,structured snippet,HEALTH_IN_PERSONALIZED_ADS,Violating Text: ,LIMITED,,No,No,Yes,2026/02/02 20:35:01,Theeba R,2026/02/10 04:14:39,Undetermined,None,28.23%,33.06%,active
46632759,2664783,GOOGLE,structured snippet,HEALTH_IN_PERSONALIZED_ADS,Violating Text: ,LIMITED,,No,No,Yes,2026/02/02 20:35:01,Theeba R,2026/02/10 04:14:39,Undetermined,None,28.23%,33.06%,active
46632761,2664783,GOOGLE,structured snippet,HEALTH_IN_PERSONALIZED_ADS,Violating Text: ,LIMITED,,No,No,Yes,2026/02/02 20:35:01,Theeba R,2026/02/10 04:14:39,Undetermined,None,28.23%,33.06%,active
46632763,2664783,GOOGLE,structured snippet,HEALTH_IN_PERSONALIZED_ADS,Violating Text: ,LIMITED,,No,No,Yes,2026/02/02 20:35:01,Theeba R,2026/02/10 04:14:39,Undetermined,None,28.23%,33.06%,active
46632770,2664783,GOOGLE,structured snippet,HEALTH_IN_PERSONALIZED_ADS,Violating Text: ,LIMITED,,No,No,Yes,2026/02/02 20:35:01,Theeba R,2026/02/10 04:14:39,Undetermined,None,28.23%,33.06%,active
46632771,2664783,GOOGLE,structured snippet,HEALTH_IN_PERSONALIZED_ADS,Violating Text: ,LIMITED,,No,No,Yes,2026/02/02 20:35:01,Theeba R,2026/02/10 04:14:39,Undetermined,None,28.23%,33.06%,active
46632773,2664783,GOOGLE,structured snippet,HEALTH_IN_PERSONALIZED_ADS,Violating Text: ,LIMITED,,No,No,Yes,2026/02/02 20:35:01,Theeba R,2026/02/10 04:14:39,Undetermined,None,28.23%,33.06%,active
46632775,2664783,GOOGLE,structured snippet,HEALTH_IN_PERSONALIZED_ADS,Violating Text: ,LIMITED,,No,No,Yes,2026/02/02 20:35:01,Theeba R,2026/02/10 04:14:39,Undetermined,None,28.23%,33.06%,active
46632788,2664783,GOOGLE,Callout,HEALTH_IN_PERSONALIZED_ADS,Violating Text: ,LIMITED,,No,No,Yes,2026/02/02 20:35:01,Theeba R,2026/02/10 04:14:39,Undetermined,None,28.23%,33.06%,active
46632789,2664783,GOOGLE,Callout,HEALTH_IN_PERSONALIZED_ADS,Violating Text: ,LIMITED,,No,No,Yes,2026/02/02 20:35:01,Theeba R,2026/02/10 04:14:39,Undetermined,None,28.23%,33.06%,active
46632790,2664783,GOOGLE,Callout,HEALTH_IN_PERSONALIZED_ADS,Violating Text: ,LIMITED,,No,No,Yes,2026/02/02 20:35:01,Theeba R,2026/02/10 04:14:39,Undetermined,None,28.23%,33.06%,active
46632791,2664783,GOOGLE,Callout,HEALTH_IN_PERSONALIZED_ADS,Violating Text: ,LIMITED,,No,No,Yes,2026/02/02 20:35:01,Theeba R,2026/02/10 04:14:39,Undetermined,None,28.23%,33.06%,active
46632796,2664783,GOOGLE,Callout,HEALTH_IN_PERSONALIZED_ADS,Violating Text: ,LIMITED,,No,No,Yes,2026/02/02 20:35:01,Theeba R,2026/02/10 04:14:39,Undetermined,None,28.23%,33.06%,active
46632797,2664783,GOOGLE,Callout,HEALTH_IN_PERSONALIZED_ADS,Violating Text: ,LIMITED,,No,No,Yes,2026/02/02 20:35:01,Theeba R,2026/02/10 04:14:39,Undetermined,None,28.23%,33.06%,active
46632800,2664783,GOOGLE,Callout,HEALTH_IN_PERSONALIZED_ADS,Violating Text: ,LIMITED,,No,No,Yes,2026/02/02 20:35:01,Theeba R,2026/02/10 04:14:39,Undetermined,None,28.23%,33.06%,active
46632801,2664783,GOOGLE,Callout,HEALTH_IN_PERSONALIZED_ADS,Violating Text: ,LIMITED,,No,No,Yes,2026/02/02 20:35:01,Theeba R,2026/02/10 04:14:39,Undetermined,None,28.23%,33.06%,active
46632806,2664783,GOOGLE,Callout,HEALTH_IN_PERSONALIZED_ADS,Violating Text: ,LIMITED,,No,No,Yes,2026/02/02 20:35:01,Theeba R,2026/02/10 04:14:39,Undetermined,None,28.23%,33.06%,active
46632807,2664783,GOOGLE,Callout,HEALTH_IN_PERSONALIZED_ADS,Violating Text: ,LIMITED,,No,No,Yes,2026/02/02 20:35:01,Theeba R,2026/02/10 04:14:39,Undetermined,None,28.23%,33.06%,active
46632808,2664783,GOOGLE,Callout,HEALTH_IN_PERSONALIZED_ADS,Violating Text: ,LIMITED,,No,No,Yes,2026/02/02 20:35:01,Theeba R,2026/02/10 04:14:39,Undetermined,None,28.23%,33.06%,active
46632809,2664783,GOOGLE,Callout,HEALTH_IN_PERSONALIZED_ADS,Violating Text: ,LIMITED,,No,No,Yes,2026/02/02 20:35:01,Theeba R,2026/02/10 04:14:39,Undetermined,None,28.23%,33.06%,active
46632812,2664783,GOOGLE,Callout,HEALTH_IN_PERSONALIZED_ADS,Violating Text: ,LIMITED,,No,No,Yes,2026/02/02 20:35:01,Theeba R,2026/02/10 04:14:39,Undetermined,None,28.23%,33.06%,active
46632813,2664783,GOOGLE,Callout,HEALTH_IN_PERSONALIZED_ADS,Violating Text: ,LIMITED,,No,No,Yes,2026/02/02 20:35:01,Theeba R,2026/02/10 04:14:39,Undetermined,None,28.23%,33.06%,active
