ID,Campaign ID,Engine,Type,Policy Violation,Reason,Reason Type,Text,Synchronous Disapproval?,Exemptible?,Runnable?,Disapproved On,Last Updated By,Last Updated On,Valid?,Resolution?,% Fulfilled,% Time Used,Campaign Status
43599919,2553671,GOOGLE,Keyword,HEALTH_IN_PERSONALIZED_ADS,"Health in personalized advertising - Health condition-related services, procedures, or products aren't allowed in personalized advertising.",,,No,Yes,No,2025/09/18 10:01:54,Preethikrishnan Last,2025/10/24 02:06:05,Valid,Will Not Fix,0.00%,70.83%,inactive
43602250,2553671,GOOGLE,Keyword,HEALTH_IN_PERSONALIZED_ADS,"Health in personalized advertising - Health condition-related services, procedures, or products aren't allowed in personalized advertising.",,,No,Yes,No,2025/09/18 10:01:54,Preethikrishnan Last,2025/10/24 02:06:05,Valid,Will Not Fix,0.00%,70.83%,inactive
43602242,2553671,GOOGLE,Keyword,HEALTH_IN_PERSONALIZED_ADS,"Health in personalized advertising - Health condition-related services, procedures, or products aren't allowed in personalized advertising.",,,No,Yes,No,2025/09/18 10:01:54,Preethikrishnan Last,2025/10/24 02:06:05,Valid,Will Not Fix,0.00%,70.83%,inactive
43602241,2553671,GOOGLE,Keyword,HEALTH_IN_PERSONALIZED_ADS,"Health in personalized advertising - Health condition-related services, procedures, or products aren't allowed in personalized advertising.",,,No,Yes,No,2025/09/18 10:01:54,Preethikrishnan Last,2025/10/24 02:06:05,Valid,Will Not Fix,0.00%,70.83%,inactive
43602246,2553671,GOOGLE,Keyword,HEALTH_IN_PERSONALIZED_ADS,"Health in personalized advertising - Health condition-related services, procedures, or products aren't allowed in personalized advertising.",,,No,Yes,No,2025/09/18 10:01:54,Preethikrishnan Last,2025/10/24 02:06:05,Valid,Will Not Fix,0.00%,70.83%,inactive
43602243,2553671,GOOGLE,Keyword,HEALTH_IN_PERSONALIZED_ADS,"Health in personalized advertising - Health condition-related services, procedures, or products aren't allowed in personalized advertising.",,,No,Yes,No,2025/09/18 10:01:54,Preethikrishnan Last,2025/10/24 02:06:05,Valid,Will Not Fix,0.00%,70.83%,inactive
43602247,2553671,GOOGLE,Keyword,HEALTH_IN_PERSONALIZED_ADS,"Health in personalized advertising - Health condition-related services, procedures, or products aren't allowed in personalized advertising.",,,No,Yes,No,2025/09/18 10:01:54,Preethikrishnan Last,2025/10/24 02:06:05,Valid,Will Not Fix,0.00%,70.83%,inactive
43602248,2553671,GOOGLE,Keyword,HEALTH_IN_PERSONALIZED_ADS,"Health in personalized advertising - Health condition-related services, procedures, or products aren't allowed in personalized advertising.",,,No,Yes,No,2025/09/18 10:01:54,Preethikrishnan Last,2025/10/24 02:06:05,Valid,Will Not Fix,0.00%,70.83%,inactive
43602249,2553671,GOOGLE,Keyword,HEALTH_IN_PERSONALIZED_ADS,"Health in personalized advertising - Health condition-related services, procedures, or products aren't allowed in personalized advertising.",,,No,Yes,No,2025/09/18 10:01:54,Preethikrishnan Last,2025/10/24 02:06:05,Valid,Will Not Fix,0.00%,70.83%,inactive
43602245,2553671,GOOGLE,Keyword,HEALTH_IN_PERSONALIZED_ADS,"Health in personalized advertising - Health condition-related services, procedures, or products aren't allowed in personalized advertising.",,,No,Yes,No,2025/09/18 10:01:54,Preethikrishnan Last,2025/10/24 02:06:05,Valid,Will Not Fix,0.00%,70.83%,inactive
43602244,2553671,GOOGLE,Keyword,HEALTH_IN_PERSONALIZED_ADS,"Health in personalized advertising - Health condition-related services, procedures, or products aren't allowed in personalized advertising.",,,No,Yes,No,2025/09/18 10:01:54,Preethikrishnan Last,2025/10/24 02:06:05,Valid,Will Not Fix,0.00%,70.83%,inactive
43599920,2553671,GOOGLE,Keyword,HEALTH_IN_PERSONALIZED_ADS,"Health in personalized advertising - Health condition-related services, procedures, or products aren't allowed in personalized advertising.",,,No,Yes,No,2025/09/18 10:01:54,Preethikrishnan Last,2025/10/24 02:06:05,Valid,Will Not Fix,0.00%,70.83%,inactive
43639758,2553671,GOOGLE,Callout,HEALTH_IN_PERSONALIZED_ADS,Violating Text: ,LIMITED,,No,No,No,2025/09/21 10:01:24,Preethikrishnan Last,2025/10/24 02:06:05,Valid,Will Not Fix,0.00%,70.83%,inactive
43917812,2553671,GOOGLE,Callout,HEALTH_IN_PERSONALIZED_ADS,Violating Text: ,LIMITED,,No,No,No,2025/10/01 20:03:48,Preethikrishnan Last,2025/10/24 02:06:05,Valid,Will Not Fix,0.00%,70.83%,inactive
43917813,2553671,GOOGLE,Callout,HEALTH_IN_PERSONALIZED_ADS,Violating Text: ,LIMITED,,No,No,No,2025/10/01 20:03:48,Preethikrishnan Last,2025/10/24 02:06:05,Valid,Will Not Fix,0.00%,70.83%,inactive
43639759,2553671,GOOGLE,structured snippet,HEALTH_IN_PERSONALIZED_ADS,Violating Text: ,LIMITED,,No,No,No,2025/09/21 10:01:25,Preethikrishnan Last,2025/10/24 02:06:05,Valid,Will Not Fix,0.00%,70.83%,inactive
41892422,2553626,GOOGLE,Phone,UNVERIFIED_PHONE_NUMBER,Violating Text: ,PROHIBITED,,No,No,No,2025/07/02 20:57:39,System  ,,Undetermined,None,0.00%,71.25%,inactive
41892423,2553626,GOOGLE,Phone,UNVERIFIED_PHONE_NUMBER,Violating Text: ,PROHIBITED,,No,No,No,2025/07/02 20:57:39,System  ,,Undetermined,None,0.00%,71.25%,inactive
41892421,2553626,GOOGLE,Phone,UNVERIFIED_PHONE_NUMBER,Violating Text: ,PROHIBITED,,No,No,No,2025/07/02 20:57:39,System  ,,Undetermined,None,0.00%,71.25%,inactive
