ID,Campaign ID,Engine,Type,Policy Violation,Reason,Reason Type,Text,Synchronous Disapproval?,Exemptible?,Runnable?,Disapproved On,Last Updated By,Last Updated On,Valid?,Resolution?,% Fulfilled,% Time Used,Campaign Status
47395200,2053288,GOOGLE,Ad,IMAGE_QUALITY,Violating Text: ,PROHIBITED,,No,No,Yes,2026/03/22 12:48:37,Praveenkumar C,2026/03/24 07:02:13,Valid,Will Not Fix,97.17%,97.58%,active
47395207,2053288,GOOGLE,Ad,IMAGE_QUALITY,Violating Text: ,PROHIBITED,,No,No,Yes,2026/03/22 12:49:44,Praveenkumar C,2026/03/24 07:02:13,Valid,Will Not Fix,97.17%,97.58%,active
47395208,2053288,GOOGLE,Ad,IMAGE_QUALITY,Violating Text: ,PROHIBITED,,No,No,Yes,2026/03/22 12:50:45,Praveenkumar C,2026/03/24 07:02:13,Valid,Will Not Fix,97.17%,97.58%,active
47395237,2053288,GOOGLE,Ad,IMAGE_QUALITY,Violating Text: ,PROHIBITED,,No,No,Yes,2026/03/22 12:49:16,Praveenkumar C,2026/03/24 07:02:13,Valid,Will Not Fix,97.17%,97.58%,active
47395238,2053288,GOOGLE,Ad,IMAGE_QUALITY,Violating Text: ,PROHIBITED,,No,No,Yes,2026/03/22 12:50:19,Praveenkumar C,2026/03/24 07:02:13,Valid,Will Not Fix,97.17%,97.58%,active
47448776,2053288,GOOGLE,Ad,IMAGE_QUALITY,Violating Text: ,PROHIBITED,,No,No,Yes,2026/03/24 07:00:08,Praveenkumar C,2026/03/24 07:02:13,Valid,Will Not Fix,97.17%,97.58%,active
47756474,2687319,GOOGLE,Ad,IMAGE_QUALITY,Violating Text: ,PROHIBITED,,No,No,Yes,2026/04/14 08:09:29,System  ,,Undetermined,None,43.73%,49.17%,active
47756401,2687319,GOOGLE,Ad,IMAGE_ERROR,The image is not of legal dimensions.,,,No,No,Yes,2026/04/14 07:58:45,System  ,,Undetermined,None,43.73%,49.17%,active
37528242,2346199,GOOGLE,Keyword,ALCOHOL_SALE,Alcohol sale - Ads promoting content where alcohol can be purchased on the destination site or app are only allowed in certain countries and in certain ad formats.,,,No,Yes,No,2025/02/06 11:15:42,System  ,,Undetermined,None,0.00%,54.17%,inactive
37528243,2346199,GOOGLE,Keyword,ALCOHOL_SALE,Alcohol sale - Ads promoting content where alcohol can be purchased on the destination site or app are only allowed in certain countries and in certain ad formats.,,,No,Yes,No,2025/02/06 11:15:42,System  ,,Undetermined,None,0.00%,54.17%,inactive
46806707,2055063,GOOGLE,Ad,RESTRICTED_HOUSING,Violating Text: ,AREA_OF_INTEREST_ONLY,,No,No,Yes,2026/02/12 21:07:12,Preethikrishnan Last,2026/02/16 23:28:55,Valid,Will Not Fix,52.40%,50.83%,active
44560951,2049885,GOOGLE,Ad,IMAGE_QUALITY,Violating Text: ,PROHIBITED,,No,No,Yes,2025/10/29 14:00:29,Theeba R,2025/12/01 21:33:14,Valid,Will Not Fix,73.19%,70.83%,active
44603208,2049885,GOOGLE,Ad,IMAGE_QUALITY,Violating Text: ,PROHIBITED,,No,No,Yes,2025/10/31 06:04:09,Theeba R,2025/12/01 21:33:14,Valid,Will Not Fix,73.19%,70.83%,active
44603210,2049885,GOOGLE,Ad,IMAGE_QUALITY,Violating Text: ,PROHIBITED,,No,No,Yes,2025/10/31 06:09:25,Theeba R,2025/12/01 21:33:14,Valid,Will Not Fix,73.19%,70.83%,active
