ID,Campaign ID,Engine,Type,Policy Violation,Reason,Reason Type,Text,Synchronous Disapproval?,Exemptible?,Runnable?,Disapproved On,Last Updated By,Last Updated On,Valid?,Resolution?,% Fulfilled,% Time Used,Campaign Status
44934980,2058271,GOOGLE,Keyword,MUTATE_ERROR,Resource was not found.,,,No,No,Yes,2025/11/12 10:22:17,Preethikrishnan Last,2025/11/17 03:54:53,Valid,Will Not Fix,29.19%,30.42%,active
33057640,2079828,GOOGLE,Phone,UNVERIFIED_PHONE_NUMBER,Violating Text: ,PROHIBITED,,No,No,Yes,2024/07/06 23:17:21,Mahalakshmi S,2024/10/09 06:11:24,Invalid,Delegated,30.95%,30.83%,active
33057641,2079828,GOOGLE,Phone,UNVERIFIED_PHONE_NUMBER,Violating Text: ,PROHIBITED,,No,No,Yes,2024/07/06 23:17:21,Mahalakshmi S,2024/10/09 06:11:24,Invalid,Delegated,30.95%,30.83%,active
34995116,2165496,GOOGLE,Keyword,FIELD_ERROR,The field attempted to be mutated is immutable.,,,No,No,Yes,2024/10/22 22:06:57,Sivasri Durai,2024/11/14 04:50:59,Valid,Will Not Fix,27.60%,30.83%,active
34995117,2165496,GOOGLE,Keyword,FIELD_ERROR,The field attempted to be mutated is immutable.,,,No,No,Yes,2024/10/22 22:06:57,Sivasri Durai,2024/11/14 04:50:59,Valid,Will Not Fix,27.60%,30.83%,active
34995118,2165496,GOOGLE,Keyword,FIELD_ERROR,The field attempted to be mutated is immutable.,,,No,No,Yes,2024/10/22 22:06:57,Sivasri Durai,2024/11/14 04:50:59,Valid,Will Not Fix,27.60%,30.83%,active
34995119,2165496,GOOGLE,Keyword,FIELD_ERROR,The field attempted to be mutated is immutable.,,,No,No,Yes,2024/10/22 22:06:57,Sivasri Durai,2024/11/14 04:50:59,Valid,Will Not Fix,27.60%,30.83%,active
34995120,2165496,GOOGLE,Keyword,FIELD_ERROR,The field attempted to be mutated is immutable.,,,No,No,Yes,2024/10/22 22:06:57,Sivasri Durai,2024/11/14 04:50:59,Valid,Will Not Fix,27.60%,30.83%,active
35003781,2165496,GOOGLE,Keyword,FIELD_ERROR,The field attempted to be mutated is immutable.,,,No,No,Yes,2024/10/22 22:06:57,Sivasri Durai,2024/11/14 04:50:59,Valid,Will Not Fix,27.60%,30.83%,active
45563145,2165496,GOOGLE,Ad,UNVERIFIED_PHONE_NUMBER,Violating Text: ,PROHIBITED,,No,No,Yes,2025/12/06 23:50:30,System  ,,Undetermined,None,27.60%,30.83%,active
45563146,2165496,GOOGLE,Ad,UNVERIFIED_PHONE_NUMBER,Violating Text: ,PROHIBITED,,No,No,Yes,2025/12/06 23:50:30,System  ,,Undetermined,None,27.60%,30.83%,active
45563147,2165496,GOOGLE,Ad,UNVERIFIED_PHONE_NUMBER,Violating Text: ,PROHIBITED,,No,No,Yes,2025/12/06 23:50:30,System  ,,Undetermined,None,27.60%,30.83%,active
45563148,2165496,GOOGLE,Ad,UNVERIFIED_PHONE_NUMBER,Violating Text: ,PROHIBITED,,No,No,Yes,2025/12/06 23:50:30,System  ,,Undetermined,None,27.60%,30.83%,active
45563149,2165496,GOOGLE,Ad,UNVERIFIED_PHONE_NUMBER,Violating Text: ,PROHIBITED,,No,No,Yes,2025/12/06 23:50:30,System  ,,Undetermined,None,27.60%,30.83%,active
45563150,2165496,GOOGLE,Ad,UNVERIFIED_PHONE_NUMBER,Violating Text: ,PROHIBITED,,No,No,Yes,2025/12/06 23:50:30,System  ,,Undetermined,None,27.60%,30.83%,active
