ID,Campaign ID,Engine,Type,Policy Violation,Reason,Reason Type,Text,Synchronous Disapproval?,Exemptible?,Runnable?,Disapproved On,Last Updated By,Last Updated On,Valid?,Resolution?,% Fulfilled,% Time Used,Campaign Status
38400982,1561917,GOOGLE,Keyword,HEALTH_IN_PERSONALIZED_ADS,"Health in personalized advertising - Health condition-related services, procedures, or products aren't allowed in personalized advertising.",,,No,Yes,Yes,2025/03/08 06:12:19,Theeba R,2025/03/12 01:34:14,Valid,Will Not Fix,35.70%,35.08%,active
36332021,1561917,GOOGLE,Keyword,HEALTH_IN_PERSONALIZED_ADS,"Health in personalized advertising - Health condition-related services, procedures, or products aren't allowed in personalized advertising.",,,No,Yes,Yes,2024/12/24 02:36:34,Theeba R,2025/03/12 01:34:14,Valid,Will Not Fix,35.70%,35.08%,active
38400975,1561917,GOOGLE,Keyword,HEALTH_IN_PERSONALIZED_ADS,"Health in personalized advertising - Health condition-related services, procedures, or products aren't allowed in personalized advertising.",,,No,Yes,Yes,2025/03/08 06:12:19,Theeba R,2025/03/12 01:34:14,Valid,Will Not Fix,35.70%,35.08%,active
38400981,1561917,GOOGLE,Keyword,HEALTH_IN_PERSONALIZED_ADS,"Health in personalized advertising - Health condition-related services, procedures, or products aren't allowed in personalized advertising.",,,No,Yes,Yes,2025/03/08 06:12:19,Theeba R,2025/03/12 01:34:14,Valid,Will Not Fix,35.70%,35.08%,active
38400963,1561917,GOOGLE,Keyword,HEALTH_IN_PERSONALIZED_ADS,"Health in personalized advertising - Health condition-related services, procedures, or products aren't allowed in personalized advertising.",,,No,Yes,Yes,2025/03/08 06:12:19,Theeba R,2025/03/12 01:34:14,Valid,Will Not Fix,35.70%,35.08%,active
38400978,1561917,GOOGLE,Keyword,HEALTH_IN_PERSONALIZED_ADS,"Health in personalized advertising - Health condition-related services, procedures, or products aren't allowed in personalized advertising.",,,No,Yes,Yes,2025/03/08 06:12:19,Theeba R,2025/03/12 01:34:14,Valid,Will Not Fix,35.70%,35.08%,active
36332017,1561917,GOOGLE,Keyword,HEALTH_IN_PERSONALIZED_ADS,"Health in personalized advertising - Health condition-related services, procedures, or products aren't allowed in personalized advertising.",,,No,Yes,Yes,2024/12/24 02:36:34,Theeba R,2025/03/12 01:34:14,Valid,Will Not Fix,35.70%,35.08%,active
38400984,1561917,GOOGLE,Keyword,HEALTH_IN_PERSONALIZED_ADS,"Health in personalized advertising - Health condition-related services, procedures, or products aren't allowed in personalized advertising.",,,No,Yes,Yes,2025/03/08 06:12:19,Theeba R,2025/03/12 01:34:14,Valid,Will Not Fix,35.70%,35.08%,active
38400972,1561917,GOOGLE,Keyword,HEALTH_IN_PERSONALIZED_ADS,"Health in personalized advertising - Health condition-related services, procedures, or products aren't allowed in personalized advertising.",,,No,Yes,Yes,2025/03/08 06:12:19,Theeba R,2025/03/12 01:34:14,Valid,Will Not Fix,35.70%,35.08%,active
38400985,1561917,GOOGLE,Keyword,HEALTH_IN_PERSONALIZED_ADS,"Health in personalized advertising - Health condition-related services, procedures, or products aren't allowed in personalized advertising.",,,No,Yes,Yes,2025/03/08 06:12:19,Theeba R,2025/03/12 01:34:14,Valid,Will Not Fix,35.70%,35.08%,active
