ID,Campaign ID,Engine,Type,Policy Violation,Reason,Reason Type,Text,Synchronous Disapproval?,Exemptible?,Runnable?,Disapproved On,Last Updated By,Last Updated On,Valid?,Resolution?,% Fulfilled,% Time Used,Campaign Status
47013041,2638818,GOOGLE,structured snippet,COMMISSION_OF_A_CRIME_IN_PERSONALIZED_ADS,Violating Text: ,LIMITED,,No,No,Yes,2026/02/25 16:30:16,Rubiga G,2026/02/27 01:59:40,Valid,Will Not Fix,71.48%,71.25%,active
45785530,2646863,GOOGLE,Keyword,HEALTH_IN_PERSONALIZED_ADS,"Health in personalized advertising - Health condition-related services, procedures, or products aren't allowed in personalized advertising.",,,No,Yes,Yes,2025/12/16 09:53:09,System  ,,Undetermined,None,72.88%,70.83%,active
45792461,2646863,GOOGLE,Keyword,HEALTH_IN_PERSONALIZED_ADS,"Health in personalized advertising - Health condition-related services, procedures, or products aren't allowed in personalized advertising.",,,No,Yes,Yes,2025/12/16 09:53:09,System  ,,Undetermined,None,72.88%,70.83%,active
45805428,2647357,GOOGLE,Keyword,HEALTH_IN_PERSONALIZED_ADS,"Health in personalized advertising - Health condition-related services, procedures, or products aren't allowed in personalized advertising.",,,No,Yes,Yes,2025/12/17 08:02:28,System  ,,Undetermined,None,69.89%,70.83%,active
45805422,2647357,GOOGLE,Keyword,HEALTH_IN_PERSONALIZED_ADS,"Health in personalized advertising - Health condition-related services, procedures, or products aren't allowed in personalized advertising.",,,No,Yes,Yes,2025/12/17 08:02:28,System  ,,Undetermined,None,69.89%,70.83%,active
45805430,2647357,GOOGLE,Keyword,HEALTH_IN_PERSONALIZED_ADS,"Health in personalized advertising - Health condition-related services, procedures, or products aren't allowed in personalized advertising.",,,No,Yes,Yes,2025/12/17 08:02:28,System  ,,Undetermined,None,69.89%,70.83%,active
45805436,2647357,GOOGLE,Keyword,HEALTH_IN_PERSONALIZED_ADS,"Health in personalized advertising - Health condition-related services, procedures, or products aren't allowed in personalized advertising.",,,No,Yes,Yes,2025/12/17 08:02:28,System  ,,Undetermined,None,69.89%,70.83%,active
45805423,2647357,GOOGLE,Keyword,HEALTH_IN_PERSONALIZED_ADS,"Health in personalized advertising - Health condition-related services, procedures, or products aren't allowed in personalized advertising.",,,No,Yes,Yes,2025/12/17 08:02:28,System  ,,Undetermined,None,69.89%,70.83%,active
45805433,2647357,GOOGLE,Keyword,HEALTH_IN_PERSONALIZED_ADS,"Health in personalized advertising - Health condition-related services, procedures, or products aren't allowed in personalized advertising.",,,No,Yes,Yes,2025/12/17 08:02:28,System  ,,Undetermined,None,69.89%,70.83%,active
45805426,2647357,GOOGLE,Keyword,HEALTH_IN_PERSONALIZED_ADS,"Health in personalized advertising - Health condition-related services, procedures, or products aren't allowed in personalized advertising.",,,No,Yes,Yes,2025/12/17 08:02:28,System  ,,Undetermined,None,69.89%,70.83%,active
