ID,Campaign ID,Engine,Type,Policy Violation,Reason,Reason Type,Text,Synchronous Disapproval?,Exemptible?,Runnable?,Disapproved On,Last Updated By,Last Updated On,Valid?,Resolution?,% Fulfilled,% Time Used,Campaign Status
35925593,1501981,GOOGLE,Keyword,HEALTH_IN_PERSONALIZED_ADS,"Health in personalized advertising - Health condition-related services, procedures, or products aren't allowed in personalized advertising.",,,No,Yes,Yes,2024/12/05 21:41:50,Vishal R,2024/12/18 23:59:18,Valid,Will Not Fix,53.53%,65.00%,active
35925594,1501981,GOOGLE,Keyword,HEALTH_IN_PERSONALIZED_ADS,"Health in personalized advertising - Health condition-related services, procedures, or products aren't allowed in personalized advertising.",,,No,Yes,Yes,2024/12/05 21:41:50,Vishal R,2024/12/18 23:59:18,Valid,Will Not Fix,53.53%,65.00%,active
35925595,1501981,GOOGLE,Keyword,HEALTH_IN_PERSONALIZED_ADS,"Health in personalized advertising - Health condition-related services, procedures, or products aren't allowed in personalized advertising.",,,No,Yes,Yes,2024/12/05 21:41:50,Vishal R,2024/12/18 23:59:18,Valid,Will Not Fix,53.53%,65.00%,active
35925596,1501981,GOOGLE,Keyword,HEALTH_IN_PERSONALIZED_ADS,"Health in personalized advertising - Health condition-related services, procedures, or products aren't allowed in personalized advertising.",,,No,Yes,Yes,2024/12/05 21:41:50,Vishal R,2024/12/18 23:59:18,Valid,Will Not Fix,53.53%,65.00%,active
35925597,1501981,GOOGLE,Keyword,HEALTH_IN_PERSONALIZED_ADS,"Health in personalized advertising - Health condition-related services, procedures, or products aren't allowed in personalized advertising.",,,No,Yes,Yes,2024/12/05 21:41:50,Vishal R,2024/12/18 23:59:18,Valid,Will Not Fix,53.53%,65.00%,active
35925600,1501981,GOOGLE,Keyword,HEALTH_IN_PERSONALIZED_ADS,"Health in personalized advertising - Health condition-related services, procedures, or products aren't allowed in personalized advertising.",,,No,Yes,Yes,2024/12/05 21:42:02,Vishal R,2024/12/18 23:59:18,Valid,Will Not Fix,53.53%,65.00%,active
35939788,1501981,GOOGLE,Keyword,HEALTH_IN_PERSONALIZED_ADS,"Health in personalized advertising - Health condition-related services, procedures, or products aren't allowed in personalized advertising.",,,No,Yes,Yes,2024/12/05 22:56:25,Vishal R,2024/12/18 23:59:18,Valid,Will Not Fix,53.53%,65.00%,active
35939789,1501981,GOOGLE,Keyword,HEALTH_IN_PERSONALIZED_ADS,"Health in personalized advertising - Health condition-related services, procedures, or products aren't allowed in personalized advertising.",,,No,Yes,Yes,2024/12/05 22:56:25,Vishal R,2024/12/18 23:59:18,Valid,Will Not Fix,53.53%,65.00%,active
35939790,1501981,GOOGLE,Keyword,HEALTH_IN_PERSONALIZED_ADS,"Health in personalized advertising - Health condition-related services, procedures, or products aren't allowed in personalized advertising.",,,No,Yes,Yes,2024/12/05 22:56:25,Vishal R,2024/12/18 23:59:18,Valid,Will Not Fix,53.53%,65.00%,active
35940271,1501981,GOOGLE,Keyword,HEALTH_IN_PERSONALIZED_ADS,"Health in personalized advertising - Health condition-related services, procedures, or products aren't allowed in personalized advertising.",,,No,Yes,Yes,2024/12/05 22:56:25,Vishal R,2024/12/18 23:59:18,Valid,Will Not Fix,53.53%,65.00%,active
