ID,Campaign ID,Engine,Type,Policy Violation,Reason,Reason Type,Text,Synchronous Disapproval?,Exemptible?,Runnable?,Disapproved On,Last Updated By,Last Updated On,Valid?,Resolution?,% Fulfilled,% Time Used,Campaign Status
38890663,2338918,GOOGLE,Ad,IMAGE_ERROR,The image is not of legal dimensions.,,,No,No,Yes,2025/03/24 11:14:22,Preethikrishnan Last,2025/04/04 02:10:28,Invalid,Delegated,35.25%,33.47%,active
38890662,2338918,GOOGLE,Ad,IMAGE_ERROR,The image is not of legal dimensions.,,,No,No,Yes,2025/03/24 11:14:22,Preethikrishnan Last,2025/04/04 02:10:28,Invalid,Delegated,35.25%,33.47%,active
38890665,2338918,GOOGLE,Ad,IMAGE_ERROR,The image is not of legal dimensions.,,,No,No,Yes,2025/03/24 11:14:22,Preethikrishnan Last,2025/04/04 02:10:28,Invalid,Delegated,35.25%,33.47%,active
39251707,2338918,GOOGLE,Ad,IMAGE_ERROR,The image is not of legal dimensions.,,,No,No,Yes,2025/04/02 18:02:28,Preethikrishnan Last,2025/04/04 02:10:28,Invalid,Delegated,35.25%,33.47%,active
38890664,2338918,GOOGLE,Ad,IMAGE_ERROR,The image is not of legal dimensions.,,,No,No,Yes,2025/03/24 11:14:22,Preethikrishnan Last,2025/04/04 02:10:28,Invalid,Delegated,35.25%,33.47%,active
38890987,2338918,GOOGLE,Ad,IMAGE_ERROR,The image is not of legal dimensions.,,,No,No,Yes,2025/03/24 12:39:46,Preethikrishnan Last,2025/04/04 02:10:28,Invalid,Delegated,35.25%,33.47%,active
38890990,2338918,GOOGLE,Ad,IMAGE_ERROR,The image is not of legal dimensions.,,,No,No,Yes,2025/03/24 12:39:46,Preethikrishnan Last,2025/04/04 02:10:28,Invalid,Delegated,35.25%,33.47%,active
38890986,2338918,GOOGLE,Ad,IMAGE_ERROR,The image is not of legal dimensions.,,,No,No,Yes,2025/03/24 12:39:46,Preethikrishnan Last,2025/04/04 02:10:28,Invalid,Delegated,35.25%,33.47%,active
38890985,2338918,GOOGLE,Ad,IMAGE_ERROR,The image is not of legal dimensions.,,,No,No,Yes,2025/03/24 12:39:46,Preethikrishnan Last,2025/04/04 02:10:28,Invalid,Delegated,35.25%,33.47%,active
39251705,2338918,GOOGLE,Ad,IMAGE_ERROR,The image is not of legal dimensions.,,,No,No,Yes,2025/04/02 17:57:50,Preethikrishnan Last,2025/04/04 02:10:28,Invalid,Delegated,35.25%,33.47%,active
38890983,2338918,GOOGLE,Ad,IMAGE_ERROR,The image is not of legal dimensions.,,,No,No,Yes,2025/03/24 12:39:46,Preethikrishnan Last,2025/04/04 02:10:28,Invalid,Delegated,35.25%,33.47%,active
39251706,2338918,GOOGLE,Ad,IMAGE_ERROR,The image is not of legal dimensions.,,,No,No,Yes,2025/04/02 17:57:50,Preethikrishnan Last,2025/04/04 02:10:28,Invalid,Delegated,35.25%,33.47%,active
38890984,2338918,GOOGLE,Ad,IMAGE_ERROR,The image is not of legal dimensions.,,,No,No,Yes,2025/03/24 12:39:46,Preethikrishnan Last,2025/04/04 02:10:28,Invalid,Delegated,35.25%,33.47%,active
38890989,2338918,GOOGLE,Ad,IMAGE_ERROR,The image is not of legal dimensions.,,,No,No,Yes,2025/03/24 12:39:46,Preethikrishnan Last,2025/04/04 02:10:28,Invalid,Delegated,35.25%,33.47%,active
38890988,2338918,GOOGLE,Ad,IMAGE_ERROR,The image is not of legal dimensions.,,,No,No,Yes,2025/03/24 12:39:46,Preethikrishnan Last,2025/04/04 02:10:28,Invalid,Delegated,35.25%,33.47%,active
38900263,2338918,GOOGLE,Ad,IMAGE_ERROR,The image is not of legal dimensions.,,,No,No,Yes,2025/03/24 15:46:11,Preethikrishnan Last,2025/04/04 02:10:28,Invalid,Delegated,35.25%,33.47%,active
38900262,2338918,GOOGLE,Ad,IMAGE_ERROR,The image is not of legal dimensions.,,,No,No,Yes,2025/03/24 15:46:11,Preethikrishnan Last,2025/04/04 02:10:28,Invalid,Delegated,35.25%,33.47%,active
38900261,2338918,GOOGLE,Ad,IMAGE_ERROR,The image is not of legal dimensions.,,,No,No,Yes,2025/03/24 15:46:11,Preethikrishnan Last,2025/04/04 02:10:28,Invalid,Delegated,35.25%,33.47%,active
39251708,2338918,GOOGLE,Ad,IMAGE_ERROR,The image is not of legal dimensions.,,,No,No,Yes,2025/04/02 18:04:07,Preethikrishnan Last,2025/04/04 02:10:28,Invalid,Delegated,35.25%,33.47%,active
38899900,2338918,GOOGLE,Ad,IMAGE_ERROR,The image is not of legal dimensions.,,,No,No,Yes,2025/03/24 15:46:11,Preethikrishnan Last,2025/04/04 02:10:28,Invalid,Delegated,35.25%,33.47%,active
38900270,2338918,GOOGLE,Ad,IMAGE_ERROR,The image is not of legal dimensions.,,,No,No,Yes,2025/03/24 16:43:30,Preethikrishnan Last,2025/04/04 02:10:28,Invalid,Delegated,35.25%,33.47%,active
38900342,2338918,GOOGLE,Ad,IMAGE_ERROR,The image is not of legal dimensions.,,,No,No,Yes,2025/03/24 16:43:30,Preethikrishnan Last,2025/04/04 02:10:28,Invalid,Delegated,35.25%,33.47%,active
38900269,2338918,GOOGLE,Ad,IMAGE_ERROR,The image is not of legal dimensions.,,,No,No,Yes,2025/03/24 16:43:30,Preethikrishnan Last,2025/04/04 02:10:28,Invalid,Delegated,35.25%,33.47%,active
38900341,2338918,GOOGLE,Ad,IMAGE_ERROR,The image is not of legal dimensions.,,,No,No,Yes,2025/03/24 16:43:30,Preethikrishnan Last,2025/04/04 02:10:28,Invalid,Delegated,35.25%,33.47%,active
39251709,2338918,GOOGLE,Ad,IMAGE_ERROR,The image is not of legal dimensions.,,,No,No,Yes,2025/04/02 18:07:56,Preethikrishnan Last,2025/04/04 02:10:28,Invalid,Delegated,35.25%,33.47%,active
38899899,2338918,GOOGLE,Ad,IMAGE_ERROR,The image is not of legal dimensions.,,,No,No,Yes,2025/03/24 15:22:35,Preethikrishnan Last,2025/04/04 02:10:28,Invalid,Delegated,35.25%,33.47%,active
38899898,2338918,GOOGLE,Ad,IMAGE_ERROR,The image is not of legal dimensions.,,,No,No,Yes,2025/03/24 15:22:35,Preethikrishnan Last,2025/04/04 02:10:28,Invalid,Delegated,35.25%,33.47%,active
38899897,2338918,GOOGLE,Ad,IMAGE_ERROR,The image is not of legal dimensions.,,,No,No,Yes,2025/03/24 15:22:35,Preethikrishnan Last,2025/04/04 02:10:28,Invalid,Delegated,35.25%,33.47%,active
39251710,2338918,GOOGLE,Ad,IMAGE_ERROR,The image is not of legal dimensions.,,,No,No,Yes,2025/04/02 18:09:13,Preethikrishnan Last,2025/04/04 02:10:28,Invalid,Delegated,35.25%,33.47%,active
38899896,2338918,GOOGLE,Ad,IMAGE_ERROR,The image is not of legal dimensions.,,,No,No,Yes,2025/03/24 15:22:35,Preethikrishnan Last,2025/04/04 02:10:28,Invalid,Delegated,35.25%,33.47%,active
39255031,2338918,GOOGLE,Ad,IMAGE_ERROR,The image is not of legal dimensions.,,,No,No,Yes,2025/04/02 18:11:13,Preethikrishnan Last,2025/04/04 02:10:28,Invalid,Delegated,35.25%,33.47%,active
38900607,2338918,GOOGLE,Ad,IMAGE_ERROR,The image is not of legal dimensions.,,,No,No,Yes,2025/03/24 17:00:46,Preethikrishnan Last,2025/04/04 02:10:28,Invalid,Delegated,35.25%,33.47%,active
38900606,2338918,GOOGLE,Ad,IMAGE_ERROR,The image is not of legal dimensions.,,,No,No,Yes,2025/03/24 17:00:46,Preethikrishnan Last,2025/04/04 02:10:28,Invalid,Delegated,35.25%,33.47%,active
38900605,2338918,GOOGLE,Ad,IMAGE_ERROR,The image is not of legal dimensions.,,,No,No,Yes,2025/03/24 17:00:46,Preethikrishnan Last,2025/04/04 02:10:28,Invalid,Delegated,35.25%,33.47%,active
38900608,2338918,GOOGLE,Ad,IMAGE_ERROR,The image is not of legal dimensions.,,,No,No,Yes,2025/03/24 17:00:46,Preethikrishnan Last,2025/04/04 02:10:28,Invalid,Delegated,35.25%,33.47%,active
43790370,2588482,GOOGLE,Keyword,CRITERION_ERROR,Keyword text should be less than 80 chars.,,,No,No,Yes,2025/09/26 17:54:52,Preethikrishnan Last,2026/02/06 02:38:36,Valid,Will Not Fix,38.09%,33.47%,active
46575913,2588482,GOOGLE,Keyword,CRITERION_ERROR,Keyword text should be less than 80 chars.,,,No,No,Yes,2026/01/30 14:15:53,Preethikrishnan Last,2026/02/06 02:38:36,Valid,Will Not Fix,38.09%,33.47%,active
46575569,2588482,GOOGLE,Keyword,CRITERION_ERROR,Keyword text should be less than 80 chars.,,,No,No,Yes,2026/01/30 14:15:53,Preethikrishnan Last,2026/02/06 02:38:36,Valid,Will Not Fix,38.09%,33.47%,active
46575917,2588482,GOOGLE,Keyword,SYMBOLS,Punctuation and symbols - Remove any nonstandard or repetitive punctuation or symbols (like multiple exclamation points) from your ad text. Remove exclamation points from headlines if applicable.,,,No,Yes,Yes,2026/01/30 14:15:53,Preethikrishnan Last,2026/02/06 02:38:36,Valid,Will Not Fix,38.09%,33.47%,active
46575570,2588482,GOOGLE,Keyword,CRITERION_ERROR,Keyword text should be less than 80 chars.,,,No,No,Yes,2026/01/30 14:15:53,Preethikrishnan Last,2026/02/06 02:38:36,Valid,Will Not Fix,38.09%,33.47%,active
46575567,2588482,GOOGLE,Keyword,CRITERION_ERROR,Keyword text has invalid characters or symbols.,,,No,No,Yes,2026/01/30 14:15:53,Preethikrishnan Last,2026/02/06 02:38:36,Valid,Will Not Fix,38.09%,33.47%,active
43790368,2588482,GOOGLE,Keyword,CRITERION_ERROR,Keyword text has invalid characters or symbols.,,,No,No,Yes,2025/09/26 17:54:52,Preethikrishnan Last,2026/02/06 02:38:36,Valid,Will Not Fix,38.09%,33.47%,active
46575568,2588482,GOOGLE,Keyword,CRITERION_ERROR,Keyword text should be less than 80 chars.,,,No,No,Yes,2026/01/30 14:15:53,Preethikrishnan Last,2026/02/06 02:38:36,Valid,Will Not Fix,38.09%,33.47%,active
43790369,2588482,GOOGLE,Keyword,CRITERION_ERROR,Keyword text should be less than 80 chars.,,,No,No,Yes,2025/09/26 17:54:52,Preethikrishnan Last,2026/02/06 02:38:36,Valid,Will Not Fix,38.09%,33.47%,active
43790364,2588482,GOOGLE,Keyword,SYMBOLS,Punctuation and symbols - Remove any nonstandard or repetitive punctuation or symbols (like multiple exclamation points) from your ad text. Remove exclamation points from headlines if applicable.,,,No,Yes,Yes,2025/09/26 15:30:20,Preethikrishnan Last,2026/02/06 02:38:36,Valid,Will Not Fix,38.09%,33.47%,active
46575916,2588482,GOOGLE,Keyword,SYMBOLS,Punctuation and symbols - Remove any nonstandard or repetitive punctuation or symbols (like multiple exclamation points) from your ad text. Remove exclamation points from headlines if applicable.,,,No,Yes,Yes,2026/01/30 14:15:53,Preethikrishnan Last,2026/02/06 02:38:36,Valid,Will Not Fix,38.09%,33.47%,active
43790871,2588482,GOOGLE,Keyword,CRITERION_ERROR,Keyword text should be less than 80 chars.,,,No,No,Yes,2025/09/26 17:54:52,Preethikrishnan Last,2026/02/06 02:38:36,Valid,Will Not Fix,38.09%,33.47%,active
46575912,2588482,GOOGLE,Keyword,CRITERION_ERROR,Keyword text should be less than 80 chars.,,,No,No,Yes,2026/01/30 14:15:53,Preethikrishnan Last,2026/02/06 02:38:36,Valid,Will Not Fix,38.09%,33.47%,active
46575915,2588482,GOOGLE,Keyword,SYMBOLS,Punctuation and symbols - Remove any nonstandard or repetitive punctuation or symbols (like multiple exclamation points) from your ad text. Remove exclamation points from headlines if applicable.,,,No,Yes,Yes,2026/01/30 14:15:53,Preethikrishnan Last,2026/02/06 02:38:36,Valid,Will Not Fix,38.09%,33.47%,active
43790873,2588482,GOOGLE,Keyword,CRITERION_ERROR,Keyword text should be less than 80 chars.,,,No,No,Yes,2025/09/26 17:55:06,Preethikrishnan Last,2026/02/06 02:38:36,Valid,Will Not Fix,38.09%,33.47%,active
43790872,2588482,GOOGLE,Keyword,CRITERION_ERROR,Keyword text should be less than 80 chars.,,,No,No,Yes,2025/09/26 17:54:52,Preethikrishnan Last,2026/02/06 02:38:36,Valid,Will Not Fix,38.09%,33.47%,active
46575914,2588482,GOOGLE,Keyword,SYMBOLS,Punctuation and symbols - Remove any nonstandard or repetitive punctuation or symbols (like multiple exclamation points) from your ad text. Remove exclamation points from headlines if applicable.,,,No,Yes,Yes,2026/01/30 14:15:53,Preethikrishnan Last,2026/02/06 02:38:36,Valid,Will Not Fix,38.09%,33.47%,active
46575911,2588482,GOOGLE,Keyword,CRITERION_ERROR,Keyword text should be less than 80 chars.,,,No,No,Yes,2026/01/30 14:15:53,Preethikrishnan Last,2026/02/06 02:38:36,Valid,Will Not Fix,38.09%,33.47%,active
43790874,2588482,GOOGLE,Keyword,CRITERION_ERROR,Keyword text should be less than 80 chars.,,,No,No,Yes,2025/09/26 17:55:06,Preethikrishnan Last,2026/02/06 02:38:36,Valid,Will Not Fix,38.09%,33.47%,active
46900298,2670818,GOOGLE,Keyword,HEALTH_IN_PERSONALIZED_ADS,"Health in personalized advertising - Content related to someone's health cannot be used in personalized advertising. Remove either the content related to this topic, or the personalized targeting.",,,No,Yes,Yes,2026/02/19 02:19:03,System  ,,Undetermined,None,48.36%,33.47%,active
46900297,2670818,GOOGLE,Keyword,HEALTH_IN_PERSONALIZED_ADS,"Health in personalized advertising - Content related to someone's health cannot be used in personalized advertising. Remove either the content related to this topic, or the personalized targeting.",,,No,Yes,Yes,2026/02/19 02:19:03,System  ,,Undetermined,None,48.36%,33.47%,active
