ID,Campaign ID,Engine,Type,Policy Violation,Reason,Reason Type,Text,Synchronous Disapproval?,Exemptible?,Runnable?,Disapproved On,Last Updated By,Last Updated On,Valid?,Resolution?,% Fulfilled,% Time Used,Campaign Status
44265113,2597295,GOOGLE,Keyword,RECREATIONAL_DRUGS,"Recreational drugs - Remove promotions of substances that alter the mental state for the purpose of recreation, and products or services that facilitate recreational drug use from your ad, site, or app.",,,No,Yes,Yes,2025/10/17 11:02:39,System  ,,Undetermined,None,76.46%,75.93%,active
47810050,2501375,GOOGLE,Ad,GUNS,Violating Text: ,PROHIBITED,,No,No,Yes,2026/04/17 22:07:11,System  ,,Undetermined,None,70.14%,71.11%,active
45652745,2644222,GOOGLE,Sitelink,COMMISSION_OF_A_CRIME_IN_PERSONALIZED_ADS,Violating Text: ,LIMITED,,No,No,Yes,2025/12/12 04:18:35,Theeba R,2025/12/16 10:53:29,Undetermined,Delegated,25.22%,24.44%,active
45719269,2644222,GOOGLE,Sitelink,COMMISSION_OF_A_CRIME_IN_PERSONALIZED_ADS,Violating Text: ,LIMITED,,No,No,Yes,2025/12/15 08:36:39,Theeba R,2025/12/16 10:53:29,Undetermined,Delegated,25.22%,24.44%,active
46174769,2654559,GOOGLE,Keyword,CRITERION_ERROR,Keyword text has invalid characters or symbols.,,,No,No,Yes,2026/01/08 03:42:21,System  ,,Undetermined,None,99.50%,123.66%,active
33509107,2098014,GOOGLE,Ad,CALL_ONLY_ADS_INACCURATE_BUSINESS_NAME,Violating Text: ,PROHIBITED,,No,No,Yes,2024/08/08 23:21:13,Mahalakshmi S,2024/08/20 04:08:39,Valid,Will Not Fix,69.94%,71.11%,active
32916900,2098014,GOOGLE,Callout,DESTINATION_NOT_WORKING,Violating Text: ,PROHIBITED,,No,No,Yes,2024/06/27 23:50:25,Theeba R,2024/07/24 04:36:53,Valid,Delegated,69.94%,71.11%,active
32916901,2098014,GOOGLE,Callout,DESTINATION_NOT_WORKING,Violating Text: ,PROHIBITED,,No,No,Yes,2024/06/27 23:50:25,Theeba R,2024/07/24 04:36:53,Valid,Delegated,69.94%,71.11%,active
33557988,2098014,GOOGLE,Phone,UNVERIFIED_PHONE_NUMBER,Violating Text: ,PROHIBITED,,No,No,Yes,2024/08/12 22:10:07,Mahalakshmi S,2024/08/20 04:08:39,Valid,Will Not Fix,69.94%,71.11%,active
33263835,2098014,GOOGLE,Callout,DESTINATION_NOT_WORKING,Violating Text: ,PROHIBITED,,No,No,Yes,2024/07/22 22:03:49,Theeba R,2024/07/24 04:36:53,Valid,Delegated,69.94%,71.11%,active
33263836,2098014,GOOGLE,Callout,DESTINATION_NOT_WORKING,Violating Text: ,PROHIBITED,,No,No,Yes,2024/07/22 22:03:49,Theeba R,2024/07/24 04:36:53,Valid,Delegated,69.94%,71.11%,active
47640699,2683874,GOOGLE,Callout,HEALTH_IN_PERSONALIZED_ADS,Violating Text: ,LIMITED,,No,No,Yes,2026/04/06 06:20:42,System  ,,Undetermined,None,45.40%,71.11%,active
47640700,2683874,GOOGLE,Callout,HEALTH_IN_PERSONALIZED_ADS,Violating Text: ,LIMITED,,No,No,Yes,2026/04/06 06:20:42,System  ,,Undetermined,None,45.40%,71.11%,active
47640701,2683874,GOOGLE,Callout,HEALTH_IN_PERSONALIZED_ADS,Violating Text: ,LIMITED,,No,No,Yes,2026/04/06 06:20:42,System  ,,Undetermined,None,45.40%,71.11%,active
47640702,2683874,GOOGLE,Callout,HEALTH_IN_PERSONALIZED_ADS,Violating Text: ,LIMITED,,No,No,Yes,2026/04/06 06:20:42,System  ,,Undetermined,None,45.40%,71.11%,active
47640698,2683874,GOOGLE,structured snippet,HEALTH_IN_PERSONALIZED_ADS,Violating Text: ,LIMITED,,No,No,Yes,2026/04/06 06:13:02,System  ,,Undetermined,None,45.40%,71.11%,active
47810048,2071354,GOOGLE,Callout,LOCAL_SERVICES,Violating Text: ,LIMITED,,No,No,Yes,2026/04/17 22:07:10,System  ,,Undetermined,None,10.64%,71.11%,active
47810049,2071354,GOOGLE,Callout,LOCAL_SERVICES,Violating Text: ,LIMITED,,No,No,Yes,2026/04/17 22:07:10,System  ,,Undetermined,None,10.64%,71.11%,active
31180962,2071354,GOOGLE,Callout,LOCAL_SERVICES,Violating Text: ,LIMITED,,No,No,Yes,2024/02/27 06:42:14,Theeba R,2024/03/04 00:20:00,Valid,Will Not Fix,10.64%,71.11%,active
36844494,2042290,GOOGLE,structured snippet,HEALTH_IN_PERSONALIZED_ADS,Violating Text: ,LIMITED,,No,No,Yes,2025/01/13 22:32:33,Rubiga G,2025/01/17 03:32:59,Valid,Will Not Fix,42.21%,41.11%,active
45470359,2042290,GOOGLE,Callout,HEALTH_IN_PERSONALIZED_ADS,Violating Text: ,LIMITED,,No,No,Yes,2025/12/01 23:02:01,System  ,,Undetermined,None,42.21%,41.11%,active
36067239,2042290,GOOGLE,structured snippet,HEALTH_IN_PERSONALIZED_ADS,Violating Text: ,LIMITED,,No,No,Yes,2024/12/12 00:28:16,Rubiga G,2024/12/15 23:40:38,Valid,Will Not Fix,42.21%,41.11%,active
35925360,2042290,GOOGLE,Callout,HEALTH_IN_PERSONALIZED_ADS,Violating Text: ,LIMITED,,No,No,Yes,2024/12/05 14:04:07,System  ,2025/12/01 23:02:01,Valid,Will Not Fix,42.21%,41.11%,active
35925401,2042290,GOOGLE,Callout,HEALTH_IN_PERSONALIZED_ADS,Violating Text: ,LIMITED,,No,No,Yes,2024/12/05 14:04:07,Rubiga G,2024/12/11 00:51:39,Valid,Will Not Fix,42.21%,41.11%,active
35925402,2042290,GOOGLE,Callout,HEALTH_IN_PERSONALIZED_ADS,Violating Text: ,LIMITED,,No,No,Yes,2024/12/05 14:04:07,Rubiga G,2024/12/11 00:51:39,Valid,Will Not Fix,42.21%,41.11%,active
35925403,2042290,GOOGLE,Callout,HEALTH_IN_PERSONALIZED_ADS,Violating Text: ,LIMITED,,No,No,Yes,2024/12/05 14:04:07,Rubiga G,2024/12/11 00:51:39,Valid,Will Not Fix,42.21%,41.11%,active
35925404,2042290,GOOGLE,Sitelink,HEALTH_IN_PERSONALIZED_ADS,Violating Text: ,LIMITED,,No,No,Yes,2024/12/05 14:04:07,Rubiga G,2024/12/11 00:51:39,Valid,Will Not Fix,42.21%,41.11%,active
41940759,2194828,GOOGLE,Ad,PRESCRIPTION_DRUG_SALE,Violating Text: ,FULLY_LIMITED,,No,No,Yes,2025/07/04 21:48:57,System  ,2025/12/09 23:35:58,Valid,Will Not Fix,72.94%,71.11%,active
41552421,2194828,GOOGLE,Ad,RECREATIONAL_DRUGS,Violating Text: ,PROHIBITED,,No,No,Yes,2025/06/19 21:52:53,System  ,2026/01/06 21:51:18,Valid,Will Not Fix,72.94%,71.11%,active
34284530,2194828,GOOGLE,Ad,RESTRICTED_DRUG_TERMS,Violating Text: KETAMINE<br/>Spravato,LIMITED,,No,No,Yes,2024/09/26 03:42:49,System  ,2025/12/09 23:35:58,Valid,Will Not Fix,72.94%,71.11%,active
35935928,2194828,GOOGLE,Ad,RESTRICTED_DRUG_TERMS,Violating Text: KETAMINE<br/>Spravato,LIMITED,,No,No,Yes,2024/12/05 22:14:30,System  ,2025/12/09 23:35:58,Valid,Will Not Fix,72.94%,71.11%,active
34284863,2194828,GOOGLE,Ad,RESTRICTED_DRUG_TERMS,Violating Text: KETAMINE<br/>Spravato,LIMITED,,No,No,Yes,2024/09/26 05:23:21,System  ,2025/12/09 23:35:58,Valid,Will Not Fix,72.94%,71.11%,active
47463772,2194828,GOOGLE,Ad,RECREATIONAL_DRUGS,Violating Text: ,PROHIBITED,,No,No,Yes,2026/03/24 23:07:14,Rubiga G,2026/03/26 04:51:39,Valid,Will Not Fix,72.94%,71.11%,active
34284867,2194828,GOOGLE,Ad,RESTRICTED_DRUG_TERMS,Violating Text: KETAMINE<br/>Spravato,LIMITED,,No,No,Yes,2024/09/26 05:47:30,System  ,2025/12/09 23:35:58,Valid,Will Not Fix,72.94%,71.11%,active
35935929,2194828,GOOGLE,Ad,RESTRICTED_DRUG_TERMS,Violating Text: KETAMINE<br/>Spravato,LIMITED,,No,No,Yes,2024/12/05 22:14:30,System  ,2025/12/09 23:35:58,Valid,Will Not Fix,72.94%,71.11%,active
47252692,2194828,GOOGLE,Ad,RECREATIONAL_DRUGS,Violating Text: ,PROHIBITED,,No,No,Yes,2026/03/12 01:10:47,Rubiga G,2026/03/16 06:30:30,Valid,Will Not Fix,72.94%,71.11%,active
47246187,2194828,GOOGLE,Ad,RECREATIONAL_DRUGS,Violating Text: ,PROHIBITED,,No,No,Yes,2026/03/12 00:04:46,System  ,2026/04/17 22:07:10,Valid,Will Not Fix,72.94%,71.11%,active
43440058,2194828,GOOGLE,Ad,RECREATIONAL_DRUGS,Violating Text: ,PROHIBITED,,No,No,Yes,2025/09/10 22:31:06,System  ,2026/02/08 21:53:19,Valid,Will Not Fix,72.94%,71.11%,active
43440059,2194828,GOOGLE,Ad,RESTRICTED_DRUG_TERMS,Violating Text: KETAMINE<br/>Spravato,LIMITED,,No,No,Yes,2025/09/10 22:31:06,System  ,2025/12/09 23:35:58,Valid,Will Not Fix,72.94%,71.11%,active
43440060,2194828,GOOGLE,Ad,RESTRICTED_DRUG_TERMS,Violating Text: KETAMINE<br/>Spravato,LIMITED,,No,No,Yes,2025/09/10 22:31:06,System  ,2025/12/09 23:35:58,Valid,Will Not Fix,72.94%,71.11%,active
43440061,2194828,GOOGLE,Ad,RESTRICTED_DRUG_TERMS,Violating Text: KETAMINE<br/>Spravato,LIMITED,,No,No,Yes,2025/09/10 22:31:06,System  ,2025/12/09 00:21:29,Valid,Will Not Fix,72.94%,71.11%,active
47252691,2194828,GOOGLE,Ad,RECREATIONAL_DRUGS,Violating Text: ,PROHIBITED,,No,No,Yes,2026/03/12 00:59:07,Rubiga G,2026/03/16 06:30:30,Valid,Will Not Fix,72.94%,71.11%,active
43440062,2194828,GOOGLE,Ad,RESTRICTED_DRUG_TERMS,Violating Text: KETAMINE<br/>Spravato,LIMITED,,No,No,Yes,2025/09/10 22:31:06,System  ,2025/12/09 23:35:58,Valid,Will Not Fix,72.94%,71.11%,active
43440063,2194828,GOOGLE,Ad,RESTRICTED_DRUG_TERMS,Violating Text: KETAMINE<br/>Spravato,LIMITED,,No,No,Yes,2025/09/10 22:31:06,System  ,2025/12/09 23:35:58,Valid,Will Not Fix,72.94%,71.11%,active
47252573,2194828,GOOGLE,Ad,RECREATIONAL_DRUGS,Violating Text: ,PROHIBITED,,No,No,Yes,2026/03/12 00:47:19,System  ,2026/03/22 23:06:22,Valid,Will Not Fix,72.94%,71.11%,active
