ID,Campaign ID,Engine,Type,Policy Violation,Reason,Reason Type,Text,Synchronous Disapproval?,Exemptible?,Runnable?,Disapproved On,Last Updated By,Last Updated On,Valid?,Resolution?,% Fulfilled,% Time Used,Campaign Status
46768726,1583266,GOOGLE,Callout,DESTINATION_NOT_WORKING,Violating Text: ,PROHIBITED,Copy Shop,No,No,Yes,2026/02/11 15:34:37,System  ,,Undetermined,None,33.16%,35.48%,
46768727,1583266,GOOGLE,Callout,DESTINATION_NOT_WORKING,Violating Text: ,PROHIBITED,What We Do,No,No,Yes,2026/02/11 15:34:37,System  ,,Undetermined,None,33.16%,35.48%,
33323833,1583266,GOOGLE,Keyword,THIRD_PARTY_CONSUMER_TECHNICAL_SUPPORT,Third Party Consumer Technical Support - Third Party Consumer Technical Support,,"""laptop repairs Echuca""",Yes,Yes,Yes,2024/07/28 00:16:50,Mahalakshmi S,2024/08/08 22:25:24,Valid,Will Not Fix,33.16%,35.48%,
33323834,1583266,GOOGLE,Keyword,THIRD_PARTY_CONSUMER_TECHNICAL_SUPPORT,Third Party Consumer Technical Support - Third Party Consumer Technical Support,,"""computer repairs""",Yes,Yes,Yes,2024/07/28 00:16:50,Mahalakshmi S,2024/08/08 22:25:24,Valid,Will Not Fix,33.16%,35.48%,
33323835,1583266,GOOGLE,Keyword,THIRD_PARTY_CONSUMER_TECHNICAL_SUPPORT,Third Party Consumer Technical Support - Third Party Consumer Technical Support,,[computer repairs],Yes,Yes,Yes,2024/07/28 00:16:50,Mahalakshmi S,2024/08/08 22:25:24,Valid,Will Not Fix,33.16%,35.48%,
33323836,1583266,GOOGLE,Keyword,THIRD_PARTY_CONSUMER_TECHNICAL_SUPPORT,Third Party Consumer Technical Support - Third Party Consumer Technical Support,,"""cheap computer repair""",Yes,Yes,Yes,2024/07/28 00:16:50,Mahalakshmi S,2024/08/08 22:25:24,Valid,Will Not Fix,33.16%,35.48%,
33323837,1583266,GOOGLE,Keyword,THIRD_PARTY_CONSUMER_TECHNICAL_SUPPORT,Third Party Consumer Technical Support - Third Party Consumer Technical Support,,"""onsite computer repair""",Yes,Yes,Yes,2024/07/28 00:16:50,Mahalakshmi S,2024/08/08 22:25:24,Valid,Will Not Fix,33.16%,35.48%,
33323838,1583266,GOOGLE,Keyword,THIRD_PARTY_CONSUMER_TECHNICAL_SUPPORT,Third Party Consumer Technical Support - Third Party Consumer Technical Support,,"""local computer repair shop""",Yes,Yes,Yes,2024/07/28 00:16:50,Mahalakshmi S,2024/08/08 22:25:24,Valid,Will Not Fix,33.16%,35.48%,
43037963,1583266,GOOGLE,Keyword,THIRD_PARTY_CONSUMER_TECHNICAL_SUPPORT,Third Party Consumer Technical Support - Third Party Consumer Technical Support,,"""laptop repairs""",Yes,Yes,Yes,2025/08/24 06:00:39,Rubiga G,2025/10/06 20:07:16,Valid,Will Not Fix,33.16%,35.48%,
43321949,1583266,GOOGLE,Keyword,THIRD_PARTY_CONSUMER_TECHNICAL_SUPPORT,Third Party Consumer Technical Support - Third Party Consumer Technical Support,,"""laptop repairs near me""",Yes,Yes,Yes,2025/09/07 06:00:04,Rubiga G,2025/10/06 20:07:16,Valid,Will Not Fix,33.16%,35.48%,
43321950,1583266,GOOGLE,Keyword,THIRD_PARTY_CONSUMER_TECHNICAL_SUPPORT,Third Party Consumer Technical Support - Third Party Consumer Technical Support,,"""computer repairs Echuca""",Yes,Yes,Yes,2025/09/07 06:00:04,Rubiga G,2025/10/06 20:07:16,Valid,Will Not Fix,33.16%,35.48%,
41946336,1613122,GOOGLE,Keyword,RECREATIONAL_DRUGS,"Recreational drugs - Remove promotions of substances that alter the mental state for the purpose of recreation, and products or services that facilitate recreational drug use from your ad, site, or app.",,"""coffee shops""",Yes,Yes,Yes,2025/07/06 04:00:12,Vishal R,2025/07/08 22:18:42,Valid,Will Not Fix,35.14%,35.48%,
