ID,Campaign ID,Engine,Type,Policy Violation,Reason,Reason Type,Text,Synchronous Disapproval?,Exemptible?,Runnable?,Disapproved On,Last Updated By,Last Updated On,Valid?,Resolution?,% Fulfilled,% Time Used,Campaign Status
33482661,991185,GOOGLE,Callout,HEALTH_IN_PERSONALIZED_ADS,Violating Text: ,LIMITED,LASIK,No,No,Yes,2024/08/07 19:31:55,Rubiga G,2024/12/10 20:51:32,Valid,Will Not Fix,28.37%,33.06%,
33482662,991185,GOOGLE,Callout,HEALTH_IN_PERSONALIZED_ADS,Violating Text: ,LIMITED,LASIK,No,No,Yes,2024/08/07 19:31:55,Rubiga G,2024/12/10 20:51:32,Valid,Will Not Fix,28.37%,33.06%,
33482663,991185,GOOGLE,Callout,HEALTH_IN_PERSONALIZED_ADS,Violating Text: ,LIMITED,LASIK,No,No,Yes,2024/08/07 19:31:55,Rubiga G,2024/12/10 20:51:32,Valid,Will Not Fix,28.37%,33.06%,
33482664,991185,GOOGLE,Callout,HEALTH_IN_PERSONALIZED_ADS,Violating Text: ,LIMITED,LASIK,No,No,Yes,2024/08/07 19:31:55,Rubiga G,2024/12/10 20:51:32,Valid,Will Not Fix,28.37%,33.06%,
33482665,991185,GOOGLE,Callout,HEALTH_IN_PERSONALIZED_ADS,Violating Text: ,LIMITED,LASIK,No,No,Yes,2024/08/07 19:31:55,Rubiga G,2024/12/10 20:51:32,Valid,Will Not Fix,28.37%,33.06%,
33482666,991185,GOOGLE,Callout,HEALTH_IN_PERSONALIZED_ADS,Violating Text: ,LIMITED,LASIK,No,No,Yes,2024/08/07 19:31:55,Rubiga G,2024/12/10 20:51:32,Valid,Will Not Fix,28.37%,33.06%,
33482667,991185,GOOGLE,Callout,HEALTH_IN_PERSONALIZED_ADS,Violating Text: ,LIMITED,Cataract Surgery,No,No,Yes,2024/08/07 19:31:55,Rubiga G,2024/12/10 20:51:32,Valid,Will Not Fix,28.37%,33.06%,
33482668,991185,GOOGLE,Callout,HEALTH_IN_PERSONALIZED_ADS,Violating Text: ,LIMITED,LASIK,No,No,Yes,2024/08/07 19:31:55,Rubiga G,2024/12/10 20:51:32,Valid,Will Not Fix,28.37%,33.06%,
35938811,991185,GOOGLE,Callout,HEALTH_IN_PERSONALIZED_ADS,Violating Text: ,LIMITED,Locations,No,No,Yes,2024/12/05 21:27:45,Rubiga G,2024/12/08 21:28:33,Valid,Will Not Fix,28.37%,33.06%,
35998577,991185,GOOGLE,Callout,HEALTH_IN_PERSONALIZED_ADS,Violating Text: ,LIMITED,Our Doctors,No,No,Yes,2024/12/08 21:19:38,Rubiga G,2024/12/08 21:28:33,Valid,Will Not Fix,28.37%,33.06%,
36019795,991185,GOOGLE,Callout,HEALTH_IN_PERSONALIZED_ADS,Violating Text: ,LIMITED,Locations,No,No,Yes,2024/12/09 21:17:52,Rubiga G,2024/12/10 20:51:32,Valid,Will Not Fix,28.37%,33.06%,
36019796,991185,GOOGLE,Callout,HEALTH_IN_PERSONALIZED_ADS,Violating Text: ,LIMITED,Our Doctors,No,No,Yes,2024/12/09 21:17:52,Rubiga G,2024/12/10 20:51:32,Valid,Will Not Fix,28.37%,33.06%,
36019797,991185,GOOGLE,Callout,HEALTH_IN_PERSONALIZED_ADS,Violating Text: ,LIMITED,Our Doctors,No,No,Yes,2024/12/09 21:17:52,Rubiga G,2024/12/10 20:51:32,Valid,Will Not Fix,28.37%,33.06%,
36044257,991185,GOOGLE,Callout,HEALTH_IN_PERSONALIZED_ADS,Violating Text: ,LIMITED,Our Doctors,No,No,Yes,2024/12/10 21:03:01,Rubiga G,2024/12/15 21:54:11,Valid,Will Not Fix,28.37%,33.06%,
36044258,991185,GOOGLE,Callout,HEALTH_IN_PERSONALIZED_ADS,Violating Text: ,LIMITED,Locations,No,No,Yes,2024/12/10 21:03:01,Rubiga G,2024/12/15 21:54:11,Valid,Will Not Fix,28.37%,33.06%,
36044259,991185,GOOGLE,Callout,HEALTH_IN_PERSONALIZED_ADS,Violating Text: ,LIMITED,Locations,No,No,Yes,2024/12/10 21:03:01,Rubiga G,2024/12/15 21:54:11,Valid,Will Not Fix,28.37%,33.06%,
36062540,991185,GOOGLE,Callout,HEALTH_IN_PERSONALIZED_ADS,Violating Text: ,LIMITED,Locations,No,No,Yes,2024/12/11 19:50:24,Rubiga G,2024/12/15 21:54:11,Valid,Will Not Fix,28.37%,33.06%,
36062541,991185,GOOGLE,Callout,HEALTH_IN_PERSONALIZED_ADS,Violating Text: ,LIMITED,Our Doctors,No,No,Yes,2024/12/11 19:50:24,Rubiga G,2024/12/15 21:54:11,Valid,Will Not Fix,28.37%,33.06%,
36085931,991185,GOOGLE,Callout,HEALTH_IN_PERSONALIZED_ADS,Violating Text: ,LIMITED,Our Doctors,No,No,Yes,2024/12/12 19:37:39,Rubiga G,2024/12/15 21:54:11,Valid,Will Not Fix,28.37%,33.06%,
46938528,991185,GOOGLE,Callout,HEALTH_IN_PERSONALIZED_ADS,Violating Text: ,LIMITED,Locations,No,No,Yes,2026/02/20 21:00:47,Rubiga G,2026/02/26 03:05:01,Valid,Will Not Fix,28.37%,33.06%,
35938807,991185,GOOGLE,structured snippet,HEALTH_IN_PERSONALIZED_ADS,Violating Text: ,LIMITED,,No,No,Yes,2024/12/05 21:27:45,Rubiga G,2024/12/08 21:28:33,Valid,Will Not Fix,28.37%,33.06%,
35938808,991185,GOOGLE,structured snippet,HEALTH_IN_PERSONALIZED_ADS,Violating Text: ,LIMITED,,No,No,Yes,2024/12/05 21:27:45,Rubiga G,2024/12/08 21:28:33,Valid,Will Not Fix,28.37%,33.06%,
35958745,991185,GOOGLE,structured snippet,HEALTH_IN_PERSONALIZED_ADS,Violating Text: ,LIMITED,,No,No,Yes,2024/12/06 20:26:47,Rubiga G,2024/12/08 21:28:33,Valid,Will Not Fix,28.37%,33.06%,
35958746,991185,GOOGLE,structured snippet,HEALTH_IN_PERSONALIZED_ADS,Violating Text: ,LIMITED,,No,No,Yes,2024/12/06 20:26:47,Rubiga G,2024/12/08 21:28:33,Valid,Will Not Fix,28.37%,33.06%,
35979905,991185,GOOGLE,structured snippet,HEALTH_IN_PERSONALIZED_ADS,Violating Text: ,LIMITED,,No,No,Yes,2024/12/07 21:12:20,Rubiga G,2024/12/08 21:28:33,Valid,Will Not Fix,28.37%,33.06%,
35998573,991185,GOOGLE,structured snippet,HEALTH_IN_PERSONALIZED_ADS,Violating Text: ,LIMITED,,No,No,Yes,2024/12/08 21:19:38,Rubiga G,2024/12/08 21:28:33,Valid,Will Not Fix,28.37%,33.06%,
36062539,991185,GOOGLE,structured snippet,HEALTH_IN_PERSONALIZED_ADS,Violating Text: ,LIMITED,,No,No,Yes,2024/12/11 19:50:24,Rubiga G,2024/12/15 21:54:11,Valid,Will Not Fix,28.37%,33.06%,
30746945,1986735,GOOGLE,Ad,CLINICAL_TRIAL_RECRUITMENT,Violating Text: ,LIMITED,,No,No,Yes,2024/01/11 20:48:09,System  ,2025/11/27 19:56:57,Valid,Will Not Fix,31.56%,33.06%,active
30746946,1986735,GOOGLE,Ad,CLINICAL_TRIAL_RECRUITMENT,Violating Text: ,LIMITED,,No,No,Yes,2024/01/11 20:48:09,System  ,2024/11/21 20:53:56,Valid,Will Not Fix,31.56%,33.06%,active
46754105,1986735,GOOGLE,Ad,CLINICAL_TRIAL_RECRUITMENT,Violating Text: ,LIMITED,,No,No,Yes,2026/02/09 20:39:46,System  ,,Undetermined,None,31.56%,33.06%,active
30746948,1986735,GOOGLE,Ad,CLINICAL_TRIAL_RECRUITMENT,Violating Text: ,LIMITED,,No,No,Yes,2024/01/11 20:48:09,System  ,2025/11/28 20:02:02,Valid,Will Not Fix,31.56%,33.06%,active
30746949,1986735,GOOGLE,Ad,CLINICAL_TRIAL_RECRUITMENT,Violating Text: ,LIMITED,,No,No,Yes,2024/01/11 20:48:09,Vishal R,2024/01/12 03:55:49,Valid,Will Not Fix,31.56%,33.06%,active
30746950,1986735,GOOGLE,Ad,CLINICAL_TRIAL_RECRUITMENT,Violating Text: ,LIMITED,,No,No,Yes,2024/01/11 20:48:09,Vishal R,2024/01/12 03:55:49,Valid,Will Not Fix,31.56%,33.06%,active
30746951,1986735,GOOGLE,Callout,CLINICAL_TRIAL_RECRUITMENT,Violating Text: ,LIMITED,,No,No,Yes,2024/01/11 20:48:09,Vishal R,2024/01/12 03:55:49,Valid,Will Not Fix,31.56%,33.06%,active
30746952,1986735,GOOGLE,Callout,CLINICAL_TRIAL_RECRUITMENT,Violating Text: ,LIMITED,,No,No,Yes,2024/01/11 20:48:09,System  ,2025/11/18 19:48:31,Valid,Will Not Fix,31.56%,33.06%,active
30746953,1986735,GOOGLE,Callout,CLINICAL_TRIAL_RECRUITMENT,Violating Text: ,LIMITED,,No,No,Yes,2024/01/11 20:48:09,System  ,2024/11/21 20:53:56,Valid,Will Not Fix,31.56%,33.06%,active
30746954,1986735,GOOGLE,Callout,CLINICAL_TRIAL_RECRUITMENT,Violating Text: ,LIMITED,,No,No,Yes,2024/01/11 20:48:09,System  ,2024/11/23 21:20:13,Valid,Will Not Fix,31.56%,33.06%,active
33521510,1986735,GOOGLE,structured snippet,HEALTH_IN_PERSONALIZED_ADS,Violating Text: ,LIMITED,,No,No,Yes,2024/08/09 21:02:45,Vishal R,2024/08/19 03:44:20,Valid,Will Not Fix,31.56%,33.06%,active
38607676,1080981,GOOGLE,Ad,DESTINATION_NOT_WORKING,Violating Text: ,PROHIBITED,,No,No,Yes,2025/03/14 19:43:45,Rubiga G,2025/03/21 00:13:21,Undetermined,Delegated,33.05%,33.06%,active
38607677,1080981,GOOGLE,Ad,DESTINATION_NOT_WORKING,Violating Text: ,PROHIBITED,,No,No,Yes,2025/03/14 19:43:45,Rubiga G,2025/03/21 00:13:21,Undetermined,Delegated,33.05%,33.06%,active
38607678,1080981,GOOGLE,Ad,DESTINATION_NOT_WORKING,Violating Text: ,PROHIBITED,,No,No,Yes,2025/03/14 19:43:45,Rubiga G,2025/03/21 00:13:21,Undetermined,Delegated,33.05%,33.06%,active
38607679,1080981,GOOGLE,Ad,DESTINATION_NOT_WORKING,Violating Text: ,PROHIBITED,,No,No,Yes,2025/03/14 19:43:45,Rubiga G,2025/03/21 00:13:21,Undetermined,Delegated,33.05%,33.06%,active
38607680,1080981,GOOGLE,Ad,DESTINATION_NOT_WORKING,Violating Text: ,PROHIBITED,,No,No,Yes,2025/03/14 19:43:45,Rubiga G,2025/03/21 00:13:21,Undetermined,Delegated,33.05%,33.06%,active
38607681,1080981,GOOGLE,Ad,DESTINATION_NOT_WORKING,Violating Text: ,PROHIBITED,,No,No,Yes,2025/03/14 19:43:45,Rubiga G,2025/03/21 00:13:21,Undetermined,Delegated,33.05%,33.06%,active
38607666,1080981,GOOGLE,Ad,DESTINATION_NOT_WORKING,Violating Text: ,PROHIBITED,,No,No,Yes,2025/03/14 19:43:45,Rubiga G,2025/03/21 00:13:21,Undetermined,Delegated,33.05%,33.06%,active
38607667,1080981,GOOGLE,Ad,DESTINATION_NOT_WORKING,Violating Text: ,PROHIBITED,,No,No,Yes,2025/03/14 19:43:45,Rubiga G,2025/03/21 00:13:21,Undetermined,Delegated,33.05%,33.06%,active
38607668,1080981,GOOGLE,Ad,DESTINATION_NOT_WORKING,Violating Text: ,PROHIBITED,,No,No,Yes,2025/03/14 19:43:45,Rubiga G,2025/03/21 00:13:21,Undetermined,Delegated,33.05%,33.06%,active
38607669,1080981,GOOGLE,Ad,DESTINATION_NOT_WORKING,Violating Text: ,PROHIBITED,,No,No,Yes,2025/03/14 19:43:45,Rubiga G,2025/03/21 00:13:21,Undetermined,Delegated,33.05%,33.06%,active
38607670,1080981,GOOGLE,Ad,DESTINATION_NOT_WORKING,Violating Text: ,PROHIBITED,,No,No,Yes,2025/03/14 19:43:45,Rubiga G,2025/03/21 00:13:21,Undetermined,Delegated,33.05%,33.06%,active
38607671,1080981,GOOGLE,Ad,DESTINATION_NOT_WORKING,Violating Text: ,PROHIBITED,,No,No,Yes,2025/03/14 19:43:45,Rubiga G,2025/03/21 00:13:21,Undetermined,Delegated,33.05%,33.06%,active
38607672,1080981,GOOGLE,Ad,DESTINATION_NOT_WORKING,Violating Text: ,PROHIBITED,,No,No,Yes,2025/03/14 19:43:45,Rubiga G,2025/03/21 00:13:21,Undetermined,Delegated,33.05%,33.06%,active
38607673,1080981,GOOGLE,Ad,DESTINATION_NOT_WORKING,Violating Text: ,PROHIBITED,,No,No,Yes,2025/03/14 19:43:45,Rubiga G,2025/03/21 00:13:21,Undetermined,Delegated,33.05%,33.06%,active
